method,generation,distinct2,distinct3,distinct4,val_ppl,clean_val_size,train_avg_words,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
unsup_set_aware,0,0.5352670407970238,0.6155183793663688,0.6616202266426482,45.43040284154341,0.0,161.9395,0.3325860578284123,0.05785531279692655,1.0
unsup_set_aware,1,0.46356771354270854,0.5236309643648077,0.5609169199594731,71.41622434935566,0.0,164.568,0.27832562896510793,0.206223851104188,1.0
unsup_set_aware,2,0.4277011221056055,0.4776335503040528,0.509231451561807,106.95087344549367,0.0,164.118,0.24438589771500885,0.3360708129393687,1.0
unsup_set_aware,3,0.4411072439091569,0.4891761800357854,0.5196575776791376,136.36609975382012,0.0,161.0,0.22467336103553742,0.40793343580888036,0.9995
unsup_set_aware,4,0.4338314570117594,0.47812097812097815,0.5053084757816667,168.82119902076766,0.0,159.4025,0.21171505995186532,0.45574626570463495,0.9945
no_filter,0,0.5012928084362088,0.5744137983823642,0.6169710044430747,43.826797508622086,0.0,152.134,0.3153998786987968,0.2603943977696326,0.977
no_filter,1,0.40243108313436077,0.4514503836415747,0.48047092308687495,68.0555907424255,0.0,155.3145,0.2666805035586164,0.4125852948244313,0.9445
no_filter,2,0.3961834163932784,0.4399692505450467,0.4663115169964485,98.61826835973761,0.0,155.983,0.23078443844659527,0.5235275969326392,0.947
no_filter,3,0.38748865374333213,0.42559847830711667,0.44884696280809583,115.03833971304887,0.0,155.6055,0.2132433762522845,0.5729218247995578,0.9275
no_filter,4,0.3600840021000525,0.3924716302241904,0.41129992149314965,141.66470528673273,0.0,157.2685,0.2108888644626943,0.5814491255145603,0.9395
pointwise,0,0.4490910974157129,0.5161357593451853,0.5567364719466751,40.607655752491176,0.0,132.5535,0.041571673953778886,0.9246078634462043,0.6415
pointwise,1,0.33476215765116457,0.3743477486191361,0.3993620455535344,57.46981800266114,0.0,134.3465,0.019665250406374575,0.9578532634051545,0.391
pointwise,2,0.2911637741168179,0.3178668693394135,0.33323983527341805,91.78993787831881,0.0,134.1135,0.01693162642577109,0.960454482115972,0.3475
pointwise,3,0.3067457320772002,0.33191303806142153,0.3455167830677216,141.38437397379064,0.0,134.096,0.018076847186552752,0.9597749837653422,0.363
pointwise,4,0.2753204929708305,0.29481570123281353,0.3052903614306683,229.09631457216415,0.0,134.1805,0.016936507565669074,0.9600718807308736,0.342
