method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9
baseline,0,2500,0.3426,0.158,,0.465,0.418,0.158,0.351,0.288,0.203,0.372,0.275,0.468,0.428,0,0,0,0,0,0,0,0,0,0
baseline,1,6500,0.4021,0.182,,0.555,0.462,0.326,0.182,0.209,0.405,0.446,0.523,0.453,0.46,1719,975,19,0,0,0,0,0,653,634
baseline,2,10500,0.4314,0.253,,0.579,0.47,0.323,0.253,0.264,0.423,0.496,0.546,0.493,0.467,1236,789,1,0,0,0,0,30,1056,888
baseline,3,14500,0.4426,0.235,,0.596,0.472,0.317,0.235,0.29,0.422,0.524,0.564,0.528,0.478,857,495,136,0,3,39,190,729,822,729
baseline,4,18500,0.4509,0.222,,0.609,0.476,0.315,0.222,0.284,0.399,0.575,0.61,0.539,0.48,547,228,428,0,27,207,561,1111,532,359
baseline,5,22500,0.4495,0.173,,0.615,0.487,0.327,0.173,0.294,0.383,0.597,0.621,0.532,0.466,487,208,558,12,133,429,777,821,305,270
set_aware,0,2500,0.3426,0.158,,0.465,0.418,0.158,0.351,0.288,0.203,0.372,0.275,0.468,0.428,0,0,0,0,0,0,0,0,0,0
set_aware,1,6500,0.3984,0.168,7895.99658203125,0.541,0.49,0.299,0.168,0.22,0.413,0.425,0.513,0.439,0.476,1524,1180,32,0,0,0,0,0,366,898
set_aware,2,10500,0.4283,0.21,7958.9306640625,0.572,0.494,0.364,0.21,0.229,0.426,0.494,0.549,0.455,0.49,1170,883,0,0,0,0,0,4,951,992
set_aware,3,14500,0.4408,0.235,7991.0185546875,0.6,0.502,0.31,0.235,0.299,0.41,0.513,0.561,0.483,0.495,973,592,104,0,1,1,220,523,833,753
set_aware,4,18500,0.4499,0.203,7998.98828125,0.618,0.511,0.299,0.203,0.314,0.4,0.544,0.617,0.506,0.487,684,226,336,0,72,94,719,1065,468,336
set_aware,5,22500,0.4499,0.184,7999.31884765625,0.633,0.51,0.328,0.184,0.297,0.375,0.566,0.613,0.504,0.489,483,203,546,7,266,388,565,982,317,243
