method,generation,distinct2,distinct3,distinct4,val_ppl,batch_mean_avg_align,batch_mean_avg_weight,train_avg_words,train_clean_refs,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
set_aware,0,0.5243782845935276,0.6055855035051755,0.6517436380772855,49.38685607425252,,,160.9205,,0.3321530583026284,0.05294487802432546,0.999
set_aware,1,0.45124542631175263,0.5137686661604657,0.5520386197760766,81.05536418965532,,,163.0545,,0.2817891630552578,0.19182446995128866,1.0
set_aware,2,0.42257427247169665,0.47339842455451603,0.5055169228400606,121.74852226776102,,,163.223,,0.24427812650893288,0.3309294458359367,1.0
set_aware,3,0.4271406421926578,0.47532215846169334,0.5054843449184314,171.22007106655198,,,161.176,,0.22017596410097737,0.4103529423343084,1.0
set_aware,4,0.4284852597451557,0.4744011332304657,0.5041118211676044,211.75316971636462,,,158.2045,,0.2075366188367749,0.4593013785520318,0.9945
clean_mix,0,0.5244806189866104,0.6051427271118303,0.6500445349281079,36.03393141779253,,,135.3344,500.0,0.33644475710900473,0.18231756861522072,0.9772
clean_mix,1,0.4188555406068074,0.47275971601766664,0.5055218006037678,35.90654974218613,,,142.0196,500.0,0.2990698524052646,0.30444609544849094,0.9572
clean_mix,2,0.38338904928329026,0.4263318888605659,0.4515317904243855,34.279764492848,,,142.0,500.0,0.2660028879246032,0.3962991528417088,0.9556
clean_mix,3,0.3716588348239099,0.409044676685229,0.4316646191646192,30.8711644962523,,,142.6676,500.0,0.24511395773167827,0.4576022209192582,0.9492
clean_mix,4,0.3687140284372127,0.4029964255836946,0.42318045544428146,29.15819524646634,,,142.1068,500.0,0.23656669644715086,0.4796295907881791,0.9452
batch_mean,0,0.4727174777455683,0.5456810845706908,0.5876419974524942,42.908425661803236,0.34226110577583313,0.7299085855484009,133.1705,,0.06691802033537314,0.888482340081554,0.6715
batch_mean,1,0.3733781351858144,0.41928333481108054,0.4481430957328812,58.083443277102205,0.41098999977111816,0.7976803183555603,133.9155,,0.021472024518356458,0.9569628021278271,0.4005
batch_mean,2,0.31975122502826986,0.35270239510356866,0.37218389634192905,81.49839193407568,0.423910528421402,0.7993058562278748,133.423,,0.024791862685242614,0.9546648749954743,0.384
batch_mean,3,0.32941515919411896,0.3591954748617459,0.37741771508450883,114.24794116829138,0.4067842364311218,0.8064007759094238,133.5835,,0.027640559354481346,0.9524332099037076,0.396
batch_mean,4,0.2995975423589821,0.3250752371398458,0.339868863354593,183.07071528823676,0.4047029912471771,0.8044660687446594,133.5075,,0.02415502785373104,0.9549734805225297,0.3585
