method,generation,distinct2,distinct3,distinct4,val_ppl,clean_val_size,train_avg_words,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
set_aware,0,0.5594416224364415,0.6436958933102138,0.6900658342209617,60.326043637367256,50.0,160.889,0.333342913315628,0.044125675433702764,1.0
set_aware,1,0.4558195761399267,0.5197399272506051,0.5577313143425736,96.26814916786785,50.0,163.014,0.28412135854777154,0.18314964921862284,0.9995
set_aware,2,0.4282312458701642,0.47987402444226956,0.5112960460681678,147.70774625201184,50.0,163.9055,0.2454904778596991,0.3162640089149339,1.0
set_aware,3,0.4500947016896775,0.5009154752947078,0.5315797445347604,208.11209931934135,50.0,162.305,0.2230311782049936,0.40281981853636917,0.9995
set_aware,4,0.4234960877959557,0.468318502608162,0.49691135591475344,283.0890152762679,50.0,161.7195,0.2163019566979275,0.4357186272313485,0.9965
