method,generation,distinct2,distinct3,distinct4,val_ppl,batch_mean_avg_align,batch_mean_avg_weight,train_avg_words,train_clean_refs,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
set_aware,0,0.5091179894113671,0.5843421301253385,0.6281617283481039,45.74213272625841,,,162.404,,0.3297634152021262,0.06222777047938284,0.9985
set_aware,1,0.454664122903906,0.5171803941384537,0.5571406774488862,72.51428179308813,,,162.248,,0.2739933758227609,0.22067646532904778,1.0
set_aware,2,0.4421547269226872,0.49513003569607345,0.5291037881121035,109.99780929671404,,,160.9405,,0.23937247265130127,0.34892599491742665,1.0
set_aware,3,0.43764061796910153,0.4874075378654456,0.5192327171435807,148.0957283964253,,,164.1805,,0.22874650919347153,0.39448671346445663,0.9985
set_aware,4,0.41537094068454394,0.45921427311443186,0.4874958784589241,178.98110648608707,,,159.9605,,0.21537190261314898,0.44181103316918346,0.9935
clean_mix,0,0.49114234916411914,0.5658941676322905,0.608203732503888,34.3953473962533,,,137.7416,500.0,0.32694413389899346,0.20844446951039627,0.9788
clean_mix,1,0.4486341818912874,0.5037686217973038,0.5355769965123087,33.84888761395312,,,140.55,500.0,0.28911943594887174,0.325351449689425,0.9552
clean_mix,2,0.3873910144307588,0.4287016752985273,0.45275876572477347,31.227021752435586,,,140.2828,500.0,0.25457865247716077,0.4239395174517374,0.9508
clean_mix,3,0.36112124146430413,0.3955675374645605,0.415277016956062,28.384332076723624,,,141.4728,500.0,0.24024733967492998,0.46179506495694167,0.9512
clean_mix,4,0.33496058988049837,0.36374571326201566,0.37984955433046524,26.327404158058073,,,140.7348,500.0,0.2338415668495874,0.48097567995008655,0.9504
batch_mean,0,0.45766262966937504,0.5257059822025616,0.5645808522756692,40.51441609947828,0.3462120294570923,0.7276135683059692,133.5375,,0.05741240094829012,0.9030700506938402,0.661
batch_mean,1,0.33399841403831887,0.3697504956613539,0.3913584406832379,57.41293315736391,0.3964921236038208,0.7816128134727478,133.3665,,0.023761842351619548,0.9556884768279987,0.424
batch_mean,2,0.3197147714872992,0.3486884115348267,0.36629386810644043,83.26970684364136,0.4056059718132019,0.8044620752334595,133.3635,,0.02643165622470417,0.9549857143742972,0.384
batch_mean,3,0.3220138153582413,0.34856635371733063,0.3648286254277979,134.2650811524788,0.3935205042362213,0.8102966547012329,133.0685,,0.030392424852038292,0.9504021118788384,0.407
batch_mean,4,0.3219292053247277,0.34900274056029235,0.3652303841438496,196.2897617824505,0.3883090615272522,0.8128573298454285,132.8425,,0.028510816894959747,0.9497633225972886,0.396
