clean_val_size,generation,n_seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,mauve_mean,mauve_std,mauve_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
50,0,3,0.6590438161947848,0.030966705361068117,0.6590 ± 0.0310,59.48676126766247,0.7873974981409128,59.4868 ± 0.7874,0.16540169278736766,0.04752993333570241,0.1654 ± 0.0475,0.05111899287870597,0.007680512223373367,0.0511 ± 0.0077
50,1,3,0.5473109599731131,0.009078799362371468,0.5473 ± 0.0091,95.98615604284093,0.7270345578762133,95.9862 ± 0.7270,0.06936264760936972,0.015822305501382753,0.0694 ± 0.0158,0.2010287500348575,0.021624233510577812,0.2010 ± 0.0216
50,2,3,0.5011353703966105,0.011865201206803858,0.5011 ± 0.0119,149.02384890372852,3.861158093323554,149.0238 ± 3.8612,0.02367153247926293,0.0027946906903140653,0.0237 ± 0.0028,0.32735474592290864,0.013542114841685268,0.3274 ± 0.0135
50,3,3,0.5171523798873353,0.012637624804875456,0.5172 ± 0.0126,215.01439476813073,10.531532053988105,215.0144 ± 10.5315,0.017332346080867242,0.0037869548404713244,0.0173 ± 0.0038,0.4085547043931241,0.006650530995063383,0.4086 ± 0.0067
50,4,3,0.49046617576834745,0.010383611751097902,0.4905 ± 0.0104,275.2597892046736,14.526452486280673,275.2598 ± 14.5265,0.014691617066588019,0.002450252875470734,0.0147 ± 0.0025,0.4404491527279435,0.004915837555778036,0.4404 ± 0.0049
100,0,3,0.6583609489324526,0.027167357538143828,0.6584 ± 0.0272,58.65468403308538,1.2970406028377452,58.6547 ± 1.2970,0.16540169278736766,0.04752993333570241,0.1654 ± 0.0475,0.0498760838392174,0.00825104915021662,0.0499 ± 0.0083
100,1,3,0.5443144273038812,0.011189138925620828,0.5443 ± 0.0112,94.88407655094029,1.0041173087385695,94.8841 ± 1.0041,0.0651015587561082,0.015453703733144199,0.0651 ± 0.0155,0.19649609767158613,0.018141326948669035,0.1965 ± 0.0181
100,2,3,0.5062906213151495,0.02354053994557514,0.5063 ± 0.0235,145.82887635421372,4.332187564182745,145.8289 ± 4.3322,0.0231374136373271,0.0020591508406242803,0.0231 ± 0.0021,0.3214162207032208,0.021874530524890433,0.3214 ± 0.0219
100,3,3,0.5010448272713007,0.008091595774773076,0.5010 ± 0.0081,208.61353111319235,9.384222081236754,208.6135 ± 9.3842,0.016986139765939573,0.0018156507849472045,0.0170 ± 0.0018,0.4021843704921288,0.007090985347794048,0.4022 ± 0.0071
100,4,3,0.4993749086155416,0.011643531120402827,0.4994 ± 0.0116,268.6785516019357,20.091660115146034,268.6786 ± 20.0917,0.01408628261997752,0.0007622947965436637,0.0141 ± 0.0008,0.43892451524077464,0.005091968897034882,0.4389 ± 0.0051
500,0,3,0.6619447701711937,0.03040353670325206,0.6619 ± 0.0304,59.03411110196754,0.6130303470205923,59.0341 ± 0.6130,0.16540169278736766,0.04752993333570241,0.1654 ± 0.0475,0.0489400964410475,0.008015549665429536,0.0489 ± 0.0080
500,1,3,0.5532701492126905,0.007318378523752372,0.5533 ± 0.0073,95.23225223515685,1.2160863500027874,95.2323 ± 1.2161,0.05882995230782587,0.009073328734188651,0.0588 ± 0.0091,0.19540919235255969,0.01976930691731482,0.1954 ± 0.0198
500,2,3,0.5119688018849889,0.032549318756785475,0.5120 ± 0.0325,144.002452582279,4.951318605197306,144.0025 ± 4.9513,0.027003141419161446,0.008491042773956016,0.0270 ± 0.0085,0.3175060556004132,0.022717350243145844,0.3175 ± 0.0227
500,3,3,0.5130129336414523,0.027821986712696433,0.5130 ± 0.0278,194.56274762315772,10.331080362554834,194.5627 ± 10.3311,0.017431527707168954,0.0017576763665398112,0.0174 ± 0.0018,0.3972463633564656,0.011340904665208037,0.3972 ± 0.0113
500,4,3,0.48310509101473714,0.008922028013174696,0.4831 ± 0.0089,253.74616857854758,19.8278867379139,253.7462 ± 19.8279,0.014211228488470675,0.0015684161441102329,0.0142 ± 0.0016,0.4339155127522374,0.00321796926361274,0.4339 ± 0.0032
1000,0,3,0.661387506895376,0.029028307078768682,0.6614 ± 0.0290,57.613360144260405,0.9652555294219453,57.6134 ± 0.9653,0.16540169278736766,0.04752993333570241,0.1654 ± 0.0475,0.04870377863289555,0.007484580152779298,0.0487 ± 0.0075
1000,1,3,0.5570986273779001,0.00666217750532884,0.5571 ± 0.0067,92.89457398936194,3.101448730688622,92.8946 ± 3.1014,0.06780823757757436,0.01792205275969184,0.0678 ± 0.0179,0.19212815615499548,0.01847585042752433,0.1921 ± 0.0185
1000,2,3,0.5226228032223802,0.01578191798189037,0.5226 ± 0.0158,145.2630862034435,1.699070016435247,145.2631 ± 1.6991,0.024547051423315324,0.0026187390263705357,0.0245 ± 0.0026,0.31582029588284266,0.01782951058213614,0.3158 ± 0.0178
1000,3,3,0.5118948752934832,0.019463515323093535,0.5119 ± 0.0195,201.51781289334318,9.878981680345841,201.5178 ± 9.8790,0.017163590548032726,0.001787526728448774,0.0172 ± 0.0018,0.39786784317948815,0.009506085498743811,0.3979 ± 0.0095
1000,4,3,0.48840866947145806,0.017579872724080542,0.4884 ± 0.0176,249.672164191601,17.37512743804932,249.6722 ± 17.3751,0.015145073098726891,0.0013195595027157018,0.0151 ± 0.0013,0.43361052139052364,0.01528086849933165,0.4336 ± 0.0153
