method,method_label,generation,n_seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,mauve_mean,mauve_std,mauve_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
unsup_set_aware,Unsup. SAGE,0,3,0.6748244698385335,0.01148116545727587,0.6748 ± 0.0115,47.28396748610901,2.1638649209048193,47.2840 ± 2.1639,0.19849977100598593,0.03843186242907131,0.1985 ± 0.0384,0.052460849728797054,0.0050952383691154944,0.0525 ± 0.0051
unsup_set_aware,Unsup. SAGE,1,3,0.5695524044721082,0.007852433608056968,0.5696 ± 0.0079,75.0245515536622,3.14076299402701,75.0246 ± 3.1408,0.07001150744556289,0.008146008649296628,0.0700 ± 0.0081,0.19129288468541997,0.014125739806301644,0.1913 ± 0.0141
unsup_set_aware,Unsup. SAGE,2,3,0.509804616453495,0.004388629129309185,0.5098 ± 0.0044,114.1607912065251,6.272350402163837,114.1608 ± 6.2724,0.028492761744779906,0.0053938317307436635,0.0285 ± 0.0054,0.32901869392992394,0.006785872476729167,0.3290 ± 0.0068
unsup_set_aware,Unsup. SAGE,3,3,0.5140155529053831,0.01223739350842978,0.5140 ± 0.0122,146.86287893229115,9.803554515565931,146.8629 ± 9.8036,0.018549386684987717,0.0010467679890676584,0.0185 ± 0.0010,0.41112413121395863,0.00323980105047298,0.4111 ± 0.0032
unsup_set_aware,Unsup. SAGE,4,3,0.4982954070675906,0.008002699370717932,0.4983 ± 0.0080,179.93903317953286,9.779071107860878,179.9390 ± 9.7791,0.01539303221771432,0.0010262992996384547,0.0154 ± 0.0010,0.440768386156481,0.014632563109537143,0.4408 ± 0.0146
no_filter,No Filter,0,3,0.6393087348710654,0.03036811417338508,0.6393 ± 0.0304,46.35871221379636,2.4074101096208382,46.3587 ± 2.4074,0.19144719003505492,0.029148331761086863,0.1914 ± 0.0291,0.2338236444146334,0.024194799185373313,0.2338 ± 0.0242
no_filter,No Filter,1,3,0.5261225538501152,0.04148229804637017,0.5261 ± 0.0415,74.73574543068123,6.007616844156123,74.7357 ± 6.0076,0.06373885983902776,0.008574697191537205,0.0637 ± 0.0086,0.39100330810120826,0.023793765901844604,0.3910 ± 0.0238
no_filter,No Filter,2,3,0.4821798868451899,0.019392882676322235,0.4822 ± 0.0194,112.27238559379263,13.137159491623471,112.2724 ± 13.1372,0.027190433029330923,0.008342997388589244,0.0272 ± 0.0083,0.4965730798745693,0.028425858128618416,0.4966 ± 0.0284
no_filter,No Filter,3,3,0.4517032568281149,0.013930033973416264,0.4517 ± 0.0139,143.08879599293647,24.37910781130766,143.0888 ± 24.3791,0.014853640648623372,0.003231968357881381,0.0149 ± 0.0032,0.5558204280237297,0.022749555789689065,0.5558 ± 0.0227
no_filter,No Filter,4,3,0.42532081518184633,0.012817959327584307,0.4253 ± 0.0128,174.56084291983635,28.688820953439503,174.5608 ± 28.6888,0.012030924833069641,0.0012475826886343166,0.0120 ± 0.0012,0.5739707130054945,0.018728083540784025,0.5740 ± 0.0187
kl_reg,KL Regularization,0,3,0.6673914551346766,0.03173491703259233,0.6674 ± 0.0317,42.92124697320718,1.736731720323392,42.9212 ± 1.7367,0.19955760741379205,0.040345593986778346,0.1996 ± 0.0403,0.22902013253545017,0.01489767164128462,0.2290 ± 0.0149
kl_reg,KL Regularization,1,3,0.5821622725879506,0.0383213653958545,0.5822 ± 0.0383,52.7754707480816,2.199191169527808,52.7755 ± 2.1992,0.08245588385389256,0.016424632593895875,0.0825 ± 0.0164,0.36860253121859543,0.019383324284338692,0.3686 ± 0.0194
