method,method_label,generation,n_seeds,seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,distinct4_delta_from_g0_mean,distinct4_delta_from_g0_std,distinct4_delta_from_g0_pm,val_ppl_delta_from_g0_mean,val_ppl_delta_from_g0_std,val_ppl_delta_from_g0_pm,mauve_mean,mauve_std,mauve_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
unsup_set_aware,Unsup. SAGE,4,3,"1088,2195,4960",0.4982954070675906,0.008002699370717932,0.4983 ± 0.0080,179.93903317953286,9.779071107860878,179.9390 ± 9.7791,-0.17652906277094296,0.018586535478400817,-0.1765 ± 0.0186,132.65506569342384,8.027284392568953,132.6551 ± 8.0273,0.01539303221771432,0.0010262992996384547,0.0154 ± 0.0010,0.440768386156481,0.014632563109537143,0.4408 ± 0.0146
no_filter,No Filter,4,3,"1088,2195,4960",0.42532081518184633,0.012817959327584307,0.4253 ± 0.0128,174.56084291983635,28.688820953439503,174.5608 ± 28.6888,-0.21398791968921918,0.020602997550013828,-0.2140 ± 0.0206,128.20213070603998,26.657626990459008,128.2021 ± 26.6576,0.012030924833069641,0.0012475826886343166,0.0120 ± 0.0012,0.5739707130054945,0.018728083540784025,0.5740 ± 0.0187
kl_reg,KL Regularization,4,3,"1088,2195,4960",0.4564594519433142,0.013736554034387033,0.4565 ± 0.0137,58.52704634645744,2.6261105405426854,58.5270 ± 2.6261,-0.21093200319136238,0.026908010518114592,-0.2109 ± 0.0269,15.605799373250258,1.0241667448620941,15.6058 ± 1.0242,0.01892774880501676,0.002333491188372278,0.0189 ± 0.0023,0.5370841997406823,0.01213575023818979,0.5371 ± 0.0121
pointwise,Pointwise,4,3,"1088,2195,4960",0.3231284978383944,0.027849875529247323,0.3231 ± 0.0278,217.80205670578007,9.806943868637223,217.8021 ± 9.8069,-0.2759995732850012,0.023042603203830295,-0.2760 ± 0.0230,175.89882931043348,10.907498091946556,175.8988 ± 10.9075,0.009872519784282678,0.004170087691957279,0.0099 ± 0.0042,0.9608008515143823,0.0007493944625234331,0.9608 ± 0.0007
