Method,Generation,Val PPL,MAUVE,Distinct-4
no_filter,0,1187.140176804426,0.5025168081542407,0.616636150174623
pointwise,0,552310.424439766,0.49616984252161234,0.5020473759166784
set_aware,0,878.9238808111598,0.5362368884447825,0.6249205959306998
no_filter,1,1527.0951741018023,0.374471291336873,0.5092079569897625
pointwise,1,1866812.5372082908,0.161042282103546,0.2931237543479421
set_aware,1,1268.891706208388,0.40206549926310103,0.531956889922938
