method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
frac_50,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_50,1,4000,0.4733,0.297,,0.488,0.545,0.368,0.297,0.301,0.437,0.56,0.583,0.656,0.498,128,473,155,7,0,76,121,498,274,268,0.764,0.835638368666172,0.7265625,0.8202959830866807,0.23225806451612904,0.5714285714285714,,0.5657894736842105,0.8347107438016529,0.8775100401606426,0.7554744525547445,0.8171641791044776,,
frac_50,2,4000,0.4747,0.291,,0.51,0.529,0.372,0.291,0.347,0.405,0.52,0.592,0.668,0.513,156,379,7,0,0,17,171,537,469,264,0.846,0.9862098841369152,0.8910256410256411,0.8100263852242744,0.2857142857142857,,,0.5882352941176471,0.8596491228070176,0.8547486033519553,0.8592750533049041,0.8522727272727273,,
frac_50,3,4000,0.4814,0.31,,0.524,0.569,0.367,0.31,0.328,0.377,0.546,0.598,0.664,0.531,238,244,62,2,79,2,182,445,516,230,0.8105,0.9968023403286934,0.8739495798319328,0.8114754098360656,0.6612903225806451,1.0,0.7974683544303798,1.0,0.8351648351648352,0.8112359550561797,0.8081395348837209,0.7695652173913043,,
frac_50,4,4000,0.4836,0.315,,0.532,0.559,0.361,0.315,0.345,0.368,0.521,0.617,0.685,0.533,285,200,168,29,139,20,216,349,445,149,0.726,0.9990095710158348,0.775438596491228,0.76,0.6011904761904762,0.6551724137931034,0.6834532374100719,0.75,0.8009259259259259,0.6905444126074498,0.748314606741573,0.6845637583892618,,
frac_50,5,4000,0.4911,0.318,,0.529,0.547,0.38,0.318,0.364,0.386,0.541,0.605,0.721,0.52,250,139,238,82,225,107,179,267,311,202,0.6925,0.9994996736943722,0.768,0.7122302158273381,0.6050420168067226,0.5975609756097561,0.6355555555555555,0.7102803738317757,0.7374301675977654,0.6217228464419475,0.7459807073954984,0.7524752475247525,,
frac_75,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_75,1,4000,0.4459,0.227,,0.453,0.52,0.348,0.227,0.273,0.429,0.481,0.557,0.676,0.495,211,670,182,10,0,120,187,671,463,486,0.7543333333333333,0.8136194976568222,0.7393364928909952,0.7925373134328358,0.26373626373626374,0.5,,0.5666666666666667,0.8074866310160428,0.8524590163934426,0.7321814254859611,0.808641975308642,,
frac_75,2,4000,0.4494,0.242,,0.488,0.487,0.331,0.242,0.308,0.397,0.471,0.594,0.673,0.503,408,632,46,0,0,128,178,570,644,394,0.7306666666666667,0.9856608775456747,0.7352941176470589,0.6914556962025317,0.5,,,0.65625,0.8539325842696629,0.7666666666666667,0.7577639751552795,0.6878172588832487,,
frac_75,3,4000,0.4387,0.185,,0.513,0.508,0.299,0.185,0.288,0.396,0.493,0.588,0.642,0.475,438,391,126,1,33,153,305,508,759,286,0.656,0.9945908294121424,0.6506849315068494,0.618925831202046,0.5873015873015873,1.0,0.7575757575757576,0.6797385620915033,0.7377049180327869,0.6259842519685039,0.7035573122529645,0.5594405594405595,,
