method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
frac_75,4,4000,0.4399,0.184,,0.503,0.487,0.295,0.184,0.295,0.403,0.514,0.567,0.689,0.462,479,183,259,32,153,373,406,385,514,216,0.5953333333333334,0.9981700505216916,0.6179540709812108,0.5519125683060109,0.40540540540540543,0.65625,0.738562091503268,0.6058981233243967,0.6428571428571429,0.535064935064935,0.6828793774319066,0.49074074074074076,,
frac_75,5,4000,0.4381,0.196,,0.487,0.468,0.335,0.196,0.289,0.405,0.496,0.541,0.71,0.454,264,151,448,89,329,414,356,205,491,253,0.5313333333333333,0.9987542590300242,0.5909090909090909,0.5099337748344371,0.42857142857142855,0.43820224719101125,0.6109422492401215,0.5507246376811594,0.6151685393258427,0.4682926829268293,0.5743380855397149,0.41106719367588934,,
frac_90,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_90,1,4000,0.4141,0.173,,0.444,0.509,0.374,0.173,0.269,0.347,0.42,0.582,0.566,0.457,275,768,212,14,0,147,243,767,561,613,0.745,0.8029614192909664,0.72,0.7864583333333334,0.29245283018867924,0.35714285714285715,,0.5714285714285714,0.7901234567901234,0.834419817470665,0.7183600713012478,0.8058727569331158,,
frac_90,2,4000,0.3974,0.188,,0.439,0.456,0.366,0.188,0.26,0.305,0.39,0.565,0.546,0.459,470,666,144,3,0,134,262,744,653,524,0.6427777777777778,0.9931760828362571,0.7021276595744681,0.6096096096096096,0.4791666666666667,0.6666666666666666,,0.6417910447761194,0.6526717557251909,0.6747311827956989,0.664624808575804,0.5992366412213741,,
frac_90,3,4000,0.3836,0.156,,0.469,0.436,0.349,0.156,0.269,0.27,0.381,0.52,0.571,0.415,715,403,650,20,31,154,271,533,517,306,0.4711111111111111,0.9963490222394467,0.4951048951048951,0.43424317617866004,0.3723076923076923,0.3,0.41935483870967744,0.538961038961039,0.5645756457564576,0.4709193245778612,0.5531914893617021,0.434640522875817,,
frac_90,4,4000,0.3609,0.166,,0.456,0.398,0.368,0.166,0.238,0.257,0.324,0.45,0.6,0.352,548,154,887,105,320,211,228,419,604,124,0.39055555555555554,0.9983891722228792,0.4306569343065693,0.35714285714285715,0.24013528748590757,0.4095238095238095,0.44375,0.5260663507109005,0.47368421052631576,0.3221957040572792,0.5215231788079471,0.3870967741935484,,
frac_90,5,4000,0.3455,0.167,,0.462,0.343,0.397,0.167,0.207,0.254,0.268,0.431,0.631,0.295,265,82,1218,214,358,280,119,390,564,110,0.31222222222222223,0.9989383960101339,0.4075471698113208,0.36585365853658536,0.21592775041050905,0.3644859813084112,0.34916201117318435,0.4035714285714286,0.3445378151260504,0.2512820512820513,0.4148936170212766,0.3090909090909091,,
frac_97p5,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_97p5,1,4000,0.3945,0.105,,0.447,0.475,0.337,0.105,0.165,0.275,0.434,0.607,0.631,0.469,313,830,221,15,0,159,268,817,610,667,0.735897435897436,0.798070284250455,0.7284345047923323,0.7698795180722892,0.2986425339366516,0.3333333333333333,,0.5534591194968553,0.7686567164179104,0.824969400244798,0.7147540983606557,0.7916041979010495,,
frac_97p5,2,4000,0.3735,0.105,,0.491,0.42,0.105,0.122,0.335,0.233,0.341,0.641,0.62,0.427,592,433,2,1,0,79,173,953,1161,506,0.6041025641025641,0.9987360250185697,0.714527027027027,0.6073903002309469,0.0,1.0,,0.6075949367088608,0.5664739884393064,0.5666316894018888,0.5917312661498708,0.5849802371541502,,
frac_97p5,3,4000,0.3502,0.069,,0.522,0.351,0.122,0.069,0.313,0.196,0.293,0.655,0.618,0.363,1016,185,0,1,32,48,115,873,1127,503,0.4379487179487179,0.999375109840662,0.4714566929133858,0.5081081081081081,,1.0,0.4375,0.625,0.5478260869565217,0.3848797250859107,0.4551907719609583,0.3538767395626243,,
frac_97p5,4,4000,0.3267,0.052,,0.579,0.291,0.092,0.052,0.304,0.179,0.222,0.678,0.604,0.266,1149,108,0,0,510,56,118,745,961,253,0.3333333333333333,0.99952153976147,0.350739773716275,0.35185185185185186,,,0.2901960784313726,0.6071428571428571,0.4491525423728814,0.27248322147651005,0.3777315296566077,0.22924901185770752,,
frac_97p5,5,4000,0.2935,0.03,,0.643,0.211,0.066,0.03,0.317,0.147,0.185,0.676,0.511,0.149,1415,67,0,0,901,47,23,795,588,64,0.27692307692307694,0.9996470729051492,0.24734982332155478,0.3283582089552239,,,0.3074361820199778,0.5531914893617021,0.43478260869565216,0.24528301886792453,0.32482993197278914,0.140625,,
frac_100,0,2500,0.4196,0.192,,0.497,0.503,0.346,0.192,0.267,0.372,0.446,0.554,0.55,0.469,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_100,1,4000,0.3792,0.0,,0.418,0.494,0.418,0.033,0.0,0.265,0.473,0.617,0.609,0.465,328,852,225,16,0,163,277,832,628,679,0.73325,0.7965323096811772,0.725609756097561,0.7687793427230047,0.3022222222222222,0.3125,,0.5521472392638037,0.7653429602888087,0.8233173076923077,0.7085987261146497,0.7879234167893961,,
frac_100,2,4000,0.3489,0.0,,0.429,0.419,0.421,0.009,0.0,0.198,0.323,0.641,0.623,0.426,467,591,665,0,0,53,244,754,908,318,0.561,0.9998291620761156,0.6316916488222698,0.5634517766497462,0.4195488721804511,,,0.660377358490566,0.569672131147541,0.5543766578249337,0.6145374449339207,0.5880503144654088,,
frac_100,3,4000,0.293,0.0,,0.473,0.283,0.432,0.0,0.0,0.051,0.181,0.654,0.589,0.267,1479,48,983,0,0,3,42,664,736,45,0.34825,0.9999642158448696,0.30493576741041245,0.5,0.2980671414038657,,,1.0,0.5714285714285714,0.35240963855421686,0.46467391304347827,0.4888888888888889,,
frac_100,4,4000,0.2132,0.0,,0.547,0.025,0.496,0.0,0.0,0.011,0.0,0.587,0.446,0.02,1482,0,1366,0,0,0,0,1013,139,0,0.23225,0.9999792556166649,0.18286099865047234,,0.2679355783308931,,,,,0.2458045409674235,0.30935251798561153,,,
frac_100,5,4000,0.1729,0.0,,0.68,0.005,0.549,0.0,0.0,0.003,0.0,0.327,0.163,0.002,1460,0,679,0,0,0,0,1861,0,0,0.1295,0.9999951575100422,0.1273972602739726,,0.22385861561119294,,,,,0.09672219236969372,,,,
