method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
frac_50,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_50,1,4000,0.4558,0.291,,0.438,0.548,0.321,0.291,0.357,0.42,0.544,0.578,0.62,0.441,140,538,249,0,0,172,3,506,237,155,0.7015,0.8218225197196006,0.6428571428571429,0.79182156133829,0.21285140562248997,,,0.6627906976744186,0.6666666666666666,0.8794466403162056,0.6962025316455697,0.6967741935483871,,
frac_50,2,4000,0.4708,0.319,,0.48,0.56,0.369,0.319,0.319,0.45,0.53,0.572,0.618,0.491,161,436,71,0,0,154,0,617,405,156,0.771,0.9744616791307926,0.7888198757763976,0.7844036697247706,0.29577464788732394,,,0.6623376623376623,,0.7974068071312804,0.8246913580246914,0.7948717948717948,,
frac_50,3,4000,0.4778,0.294,,0.528,0.572,0.33,0.294,0.368,0.44,0.503,0.602,0.655,0.486,301,286,40,2,31,81,14,466,658,121,0.7835,0.9930194300413132,0.8338870431893688,0.8391608391608392,0.65,1.0,0.8064516129032258,0.654320987654321,0.9285714285714286,0.7360515021459227,0.78419452887538,0.8099173553719008,,
frac_50,4,4000,0.4823,0.32,,0.541,0.589,0.329,0.32,0.345,0.438,0.493,0.586,0.684,0.498,294,224,53,17,188,93,153,300,508,170,0.735,0.9983401537239551,0.7278911564625851,0.7366071428571429,0.5471698113207547,0.7647058823529411,0.7446808510638298,0.5806451612903226,0.869281045751634,0.6466666666666666,0.75,0.8647058823529412,,
frac_50,5,4000,0.4863,0.334,,0.552,0.581,0.342,0.334,0.348,0.413,0.516,0.602,0.703,0.472,209,171,117,76,307,187,198,318,291,126,0.685,0.9994063127338886,0.631578947368421,0.7660818713450293,0.5555555555555556,0.5921052631578947,0.6710097719869706,0.6310160427807486,0.8333333333333334,0.6132075471698113,0.7319587628865979,0.7936507936507936,,
frac_75,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_75,1,4000,0.4228,0.225,,0.397,0.501,0.377,0.225,0.265,0.412,0.466,0.567,0.619,0.399,276,705,310,0,0,272,25,704,416,292,0.6903333333333334,0.7963656060894331,0.6485507246376812,0.774468085106383,0.23870967741935484,,,0.6470588235294118,0.8,0.8380681818181818,0.6706730769230769,0.708904109589041,,
frac_75,2,4000,0.4257,0.258,,0.427,0.493,0.293,0.258,0.309,0.409,0.476,0.578,0.6,0.414,519,396,206,0,0,285,4,700,681,209,0.6686666666666666,0.9831746943990389,0.6917148362235067,0.7171717171717171,0.3883495145631068,,,0.6140350877192983,0.75,0.7,0.6945668135095447,0.6794258373205742,,
frac_75,3,4000,0.4281,0.221,,0.562,0.489,0.266,0.221,0.311,0.431,0.441,0.578,0.597,0.385,546,267,307,10,41,369,40,605,689,126,0.601,0.9909037480155627,0.5293040293040293,0.6367041198501873,0.4527687296416938,0.6,0.8048780487804879,0.5555555555555556,0.875,0.5619834710743802,0.7184325108853411,0.7222222222222222,,
frac_75,4,4000,0.423,0.187,,0.58,0.448,0.293,0.187,0.28,0.431,0.426,0.587,0.603,0.395,565,159,400,43,132,296,258,502,518,127,0.543,0.9964808897376061,0.46017699115044247,0.6226415094339622,0.39,0.5581395348837209,0.7121212121212122,0.5067567567567568,0.8062015503875969,0.47410358565737054,0.6216216216216216,0.6141732283464567,,
frac_75,5,4000,0.4206,0.198,,0.558,0.431,0.311,0.198,0.268,0.407,0.425,0.58,0.629,0.399,409,99,568,93,246,305,395,333,391,161,0.49366666666666664,0.9985013908346494,0.43031784841075793,0.6060606060606061,0.31866197183098594,0.4731182795698925,0.532520325203252,0.4918032786885246,0.7341772151898734,0.40540540540540543,0.5294117647058824,0.6645962732919255,,
frac_90,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_90,1,4000,0.3961,0.095,,0.409,0.506,0.375,0.095,0.242,0.442,0.369,0.57,0.566,0.387,349,820,344,0,0,329,43,808,537,370,0.6863888888888889,0.7842296758790811,0.66189111747851,0.7621951219512195,0.25290697674418605,,,0.6413373860182371,0.8604651162790697,0.8217821782178217,0.6610800744878957,0.7054054054054054,,
frac_90,2,4000,0.3747,0.136,,0.413,0.496,0.335,0.136,0.23,0.377,0.358,0.557,0.516,0.329,631,504,395,0,0,284,28,714,918,126,0.6044444444444445,0.991552259027958,0.6624405705229794,0.6587301587301587,0.37721518987341773,,,0.6091549295774648,0.5714285714285714,0.6316526610644257,0.6023965141612201,0.6666666666666666,,
frac_90,3,4000,0.3676,0.127,,0.53,0.487,0.353,0.127,0.195,0.329,0.331,0.6,0.509,0.215,653,413,721,0,12,208,77,815,644,57,0.4444444444444444,0.9965448548561997,0.40888208269525267,0.5326876513317191,0.3231622746185853,,0.5833333333333334,0.4807692307692308,0.7272727272727273,0.43190184049079755,0.5232919254658385,0.49122807017543857,,
frac_90,4,4000,0.343,0.123,,0.548,0.428,0.407,0.123,0.157,0.233,0.298,0.599,0.499,0.138,831,163,958,0,11,109,214,814,489,11,0.3738888888888889,0.9983198244373004,0.41034897713598073,0.3803680981595092,0.2807933194154488,,0.8181818181818182,0.3669724770642202,0.7383177570093458,0.3034398034398034,0.4396728016359918,0.45454545454545453,,
frac_90,5,4000,0.3136,0.087,,0.558,0.379,0.459,0.087,0.126,0.148,0.268,0.563,0.439,0.109,573,132,1366,5,23,41,211,914,319,16,0.2713888888888889,0.998981093234486,0.28097731239092494,0.3409090909090909,0.2247437774524158,0.8,0.391304347826087,0.34146341463414637,0.5545023696682464,0.21772428884026257,0.3605015673981191,0.375,,
frac_97p5,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_97p5,1,4000,0.3773,0.051,,0.409,0.489,0.35,0.051,0.219,0.363,0.338,0.608,0.575,0.371,400,862,357,0,0,357,51,879,591,403,0.6846153846153846,0.7788591589835974,0.66,0.7587006960556845,0.2605042016806723,,,0.6414565826330533,0.8431372549019608,0.8111490329920364,0.6632825719120136,0.6997518610421837,,
frac_97p5,2,4000,0.3505,0.096,,0.531,0.367,0.297,0.096,0.247,0.303,0.227,0.626,0.573,0.238,990,287,234,0,0,94,0,861,1387,47,0.5453846153846154,0.9993131522337596,0.5131313131313131,0.6724738675958188,0.3803418803418803,,,0.574468085106383,,0.5644599303135889,0.5522710886806056,0.6595744680851063,,
frac_97p5,3,4000,0.311,0.084,,0.594,0.267,0.33,0.084,0.206,0.222,0.158,0.621,0.521,0.107,1326,91,468,0,0,37,0,718,1260,0,0.37461538461538463,0.999545122385025,0.3740573152337858,0.4835164835164835,0.3076923076923077,,,0.7297297297297297,,0.4025069637883008,0.36587301587301585,,,
frac_97p5,4,4000,0.2737,0.05,,0.671,0.195,0.404,0.051,0.134,0.114,0.144,0.557,0.417,0.05,1599,40,939,0,2,9,0,805,506,0,0.2548717948717949,0.9997632957880314,0.25140712945590993,0.35,0.2108626198083067,,1.0,0.4444444444444444,,0.2919254658385093,0.274703557312253,,,
frac_97p5,5,4000,0.2414,0.026,,0.708,0.126,0.482,0.03,0.088,0.04,0.116,0.445,0.353,0.026,1449,27,1634,0,0,0,0,573,217,0,0.18564102564102564,0.9997547324956991,0.19530710835058662,0.3333333333333333,0.18298653610771115,,,,,0.15357766143106458,0.2073732718894009,,,
frac_100,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
frac_100,1,4000,0.356,0.0,,0.408,0.465,0.491,0.0,0.0,0.372,0.305,0.638,0.526,0.355,416,877,369,0,0,366,53,894,609,416,0.683,0.7770331284403801,0.6490384615384616,0.7594070695553021,0.2601626016260163,,,0.639344262295082,0.8490566037735849,0.8098434004474273,0.6650246305418719,0.7019230769230769,,
frac_100,2,4000,0.3029,0.0,,0.543,0.376,0.482,0.0,0.0,0.352,0.001,0.614,0.495,0.166,405,267,1149,0,0,461,0,949,727,42,0.4845,0.9999460197687149,0.5407407407407407,0.5842696629213483,0.3437771975630983,,,0.5140997830802603,,0.48788198103266595,0.6024759284731774,0.7142857142857143,,
frac_100,3,4000,0.2412,0.0,,0.521,0.003,0.571,0.0,0.0,0.324,0.0,0.486,0.507,0.0,155,0,2355,0,0,96,0,959,435,0,0.2795,0.9999841658174992,0.5483870967741935,,0.2721868365180467,,,0.4166666666666667,,0.15745568300312826,0.46206896551724136,,,
frac_100,4,4000,0.2015,0.0,,0.48,0.0,0.676,0.0,0.0,0.096,0.0,0.284,0.479,0.0,295,0,1605,0,0,0,0,1604,496,0,0.176,0.9999698957502842,0.5694915254237288,,0.17258566978193146,,,,,0.06483790523690773,0.3125,,,
frac_100,5,4000,0.1581,0.0,,0.274,0.0,0.868,0.0,0.0,0.0,0.0,0.027,0.412,0.0,20,0,3864,0,0,0,0,56,60,0,0.15075,0.9999966012239456,0.2,,0.1488095238095238,,,,,0.017857142857142856,0.38333333333333336,,,
