method,generation,distinct2,distinct3,distinct4,val_ppl,batch_mean_avg_align,batch_mean_avg_weight,train_avg_words,train_clean_refs,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
set_aware,0,0.5610181133611478,0.6456948978938608,0.6921669201226899,48.7499695983729,,,159.594,,0.3347849571464322,0.04751389255506956,1.0
set_aware,1,0.4596749849064198,0.5236606238606442,0.5617354740061162,78.60739850412222,,,162.443,,0.2884076280353214,0.17210274334063996,1.0
set_aware,2,0.45684904053309283,0.5139237314843996,0.5489506940391301,125.66081772378661,,,161.2235,,0.24434899644155977,0.316558547042487,1.0
set_aware,3,0.45291132278306956,0.5043655486500768,0.5361004887684554,162.6373075758724,,,160.8355,,0.22676446208033707,0.3993256896336305,0.999
set_aware,4,0.4358733939839335,0.48250223185818136,0.5110657526509025,194.6372089121861,,,158.682,,0.21164361355282665,0.4455901092107775,0.995
clean_mix,0,0.5559425557154034,0.6391510332651688,0.683942725645615,36.846000618344114,,,134.8924,500.0,0.3428891510082262,0.1542210135332834,0.98
clean_mix,1,0.4597157577718595,0.5220560607199218,0.558628513803101,37.74583312497981,,,142.5196,500.0,0.2999796763381008,0.29310980804136544,0.9636
clean_mix,2,0.41570727800580637,0.4663921109305928,0.49718595512739255,36.47788351898427,,,143.5884,500.0,0.2713405332474368,0.3779018271150231,0.9504
clean_mix,3,0.37371366899252045,0.41342376820380683,0.4379624214995805,34.29931634824277,,,143.0832,500.0,0.2518462510042145,0.43244586429760495,0.9472
clean_mix,4,0.37227573182247403,0.41040132804480883,0.43397405645336157,31.21983080565257,,,142.7988,500.0,0.23990306398923372,0.46622628815428685,0.9468
batch_mean,0,0.5129863489953475,0.588312490350471,0.6286458063513444,43.440325969372914,0.31310319900512695,0.7017712593078613,136.1785,,0.1045098541967817,0.8300224934349378,0.654
batch_mean,1,0.39167353881043193,0.4446145065891875,0.4769272955186462,57.54808032980999,0.40417060256004333,0.7949135303497314,133.9865,,0.021612830153010753,0.9577397088287927,0.3965
batch_mean,2,0.3305094375355091,0.3642255346727155,0.38380169094792854,84.53300672466142,0.40532931685447693,0.8025981783866882,133.22,,0.02607740001016415,0.9549627975760361,0.401
batch_mean,3,0.30574501077898664,0.3328004060398427,0.34844634031085964,126.90150975065013,0.40312808752059937,0.8084044456481934,132.9845,,0.02613827594310237,0.9533708859473162,0.3805
batch_mean,4,0.31669920897166315,0.3426509120225738,0.3577315143523684,202.8423738873546,0.3978159725666046,0.8081910610198975,133.312,,0.027425745223752084,0.9518158127890167,0.392
