method,generation,distinct2,distinct3,distinct4,val_ppl,clean_val_size,train_avg_words,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
unsup_set_aware,0,0.5525477508088593,0.6354618489043111,0.6804003694939704,49.661795974864376,0.0,160.0335,0.33319183232249794,0.05179740289155912,0.9995
unsup_set_aware,1,0.468002268002268,0.5323576782113553,0.571475983201644,76.51347988709468,0.0,161.666,0.2820211319175646,0.1895138948090621,1.0
unsup_set_aware,2,0.4265259327567729,0.4759199337798179,0.5057307313625004,118.36173161099734,0.0,162.4315,0.2418378932373634,0.3284504678177208,0.999
unsup_set_aware,3,0.44255675567556757,0.49196024157020635,0.522414142437443,148.44072342597397,0.0,159.9755,0.22166466995897563,0.4110280570381199,0.998
unsup_set_aware,4,0.42507676301164765,0.4709969094020587,0.5,187.20837548272524,0.0,161.976,0.2217005528697981,0.42650750084693706,0.998
no_filter,0,0.5054656480876514,0.5829708128888664,0.6270683773738608,48.61849016397459,0.0,147.467,0.3235820127346779,0.22801386853114297,0.9745
no_filter,1,0.440360410104534,0.5001957688664351,0.5363894079808804,79.69542462462266,0.0,156.1195,0.27431820691178094,0.39493667152014067,0.9425
no_filter,2,0.4021966986757045,0.4482205349133956,0.47643086939382767,124.82297209381014,0.0,155.9105,0.23963894074785666,0.49931679289390357,0.94
no_filter,3,0.3768422921792953,0.4158687603727818,0.4394227556606441,159.16824528527553,0.0,155.5735,0.22121082813203594,0.5645381678936588,0.918
no_filter,4,0.36772851449911026,0.4055444845243801,0.42822504887399393,187.62785505001963,0.0,155.696,0.21226535629422286,0.5878041025429547,0.928
pointwise,0,0.48593567696443973,0.5615394434516211,0.6060286786246595,42.95302817028195,0.0,132.168,0.050514077716055254,0.9092739665075055,0.656
pointwise,1,0.37090969848083694,0.4194374725075685,0.44953244249954416,60.073913761483595,0.0,134.4855,0.017937434611422137,0.9598564832718146,0.367
pointwise,2,0.31463867662274525,0.34700841833214147,0.36687922217311697,100.08537192661072,0.0,134.319,0.01710971018008647,0.9612215463728974,0.3435
pointwise,3,0.2789089701160173,0.300882764426946,0.313941463049952,173.74993389726524,0.0,134.3555,0.01659359088337509,0.961254184827099,0.322
pointwise,4,0.27602953079394665,0.29693940515858325,0.3088750341538538,212.86623113847165,0.0,134.295,0.017907107841877375,0.9615691230600025,0.3405
