method,generation,distinct2,distinct3,distinct4,val_ppl,clean_val_size,train_avg_words,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
set_aware,0,0.5580656547829156,0.6436374709756004,0.6898802074021098,56.534749131685736,1000.0,161.2125,0.33597743429899907,0.04201108420038649,1.0
set_aware,1,0.45716295663534495,0.5202928235472614,0.5574828200559939,89.8210274915188,1000.0,163.1315,0.28582380670512975,0.18484329965458465,1.0
set_aware,2,0.4526016392011078,0.5074199623352166,0.5408332175033801,143.35192184441388,1000.0,164.4205,0.2508432300506492,0.30485500572202634,1.0
set_aware,3,0.4505199263644957,0.5001251815131942,0.5300735775840347,194.01152955494211,1000.0,162.4385,0.22955707612567958,0.39323911123631805,0.998
set_aware,4,0.42747046595345534,0.47208471548864506,0.5003210561462988,241.67075744228444,1000.0,161.641,0.21993738526544485,0.4252180793421478,0.9955
