domain,method,method_label,generation,n_seeds,seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,distinct4_delta_from_g0_mean,distinct4_delta_from_g0_std,distinct4_delta_from_g0_pm,val_ppl_delta_from_g0_mean,val_ppl_delta_from_g0_std,val_ppl_delta_from_g0_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm,train_unique_line_ratio_mean,train_unique_line_ratio_std,train_unique_line_ratio_pm
gpt2,set_aware,SAGE-Filter,4,3,"1088,2195,4960",0.5008911507591437,0.012110502911372967,0.5009 ± 0.0121,195.12382837154595,16.391449934828774,195.1238 ± 16.3914,-0.1564662780902161,0.021616880100152492,-0.1565 ± 0.0216,147.164175571918,14.60559505155343,147.1642 ± 14.6056,0.44890084031066424,0.009203192419733974,0.4489 ± 0.0092,0.9943333333333334,0.0007637626158259498,0.9943 ± 0.0008
gpt2,clean_mix,Direct Mixing,4,3,"1088,2195,4960",0.4123346887427028,0.02864591461311119,0.4123 ± 0.0286,28.901810070058996,2.4562694568255847,28.9018 ± 2.4563,-0.23506230894983418,0.012930768742954384,-0.2351 ± 0.0129,-6.85661640740432,1.2209989923842357,-6.8566 ± 1.2210,0.4756105196308509,0.00815480467652365,0.4756 ± 0.0082,0.9474666666666667,0.0026633312473917556,0.9475 ± 0.0027
gpt2,batch_mean,Batch-Mean,4,3,"1088,2195,4960",0.354276920616937,0.013028904312858983,0.3543 ± 0.0130,194.06761698601395,10.071398441242664,194.0676 ± 10.0714,-0.23934596474289896,0.0365185994956784,-0.2393 ± 0.0365,151.77989440912913,10.223247915439593,151.7799 ± 10.2232,0.9521842053029449,0.0026245420904849486,0.9522 ± 0.0026,0.3821666666666667,0.020593283694771314,0.3822 ± 0.0206
