clean_val_size,generation,n_seeds,seeds,distinct4_mean,distinct4_std,distinct4_pm,val_ppl_mean,val_ppl_std,val_ppl_pm,mauve_mean,mauve_std,mauve_pm,train_rep4_intra_mean,train_rep4_intra_std,train_rep4_intra_pm
50,4,3,"1088,2195,4960",0.49046617576834745,0.010383611751097902,0.4905 ± 0.0104,275.2597892046736,14.526452486280673,275.2598 ± 14.5265,0.014691617066588019,0.002450252875470734,0.0147 ± 0.0025,0.4404491527279435,0.004915837555778036,0.4404 ± 0.0049
100,4,3,"1088,2195,4960",0.4993749086155416,0.011643531120402827,0.4994 ± 0.0116,268.6785516019357,20.091660115146034,268.6786 ± 20.0917,0.01408628261997752,0.0007622947965436637,0.0141 ± 0.0008,0.43892451524077464,0.005091968897034882,0.4389 ± 0.0051
500,4,3,"1088,2195,4960",0.48310509101473714,0.008922028013174696,0.4831 ± 0.0089,253.74616857854758,19.8278867379139,253.7462 ± 19.8279,0.014211228488470675,0.0015684161441102329,0.0142 ± 0.0016,0.4339155127522374,0.00321796926361274,0.4339 ± 0.0032
1000,4,3,"1088,2195,4960",0.48840866947145806,0.017579872724080542,0.4884 ± 0.0176,249.672164191601,17.37512743804932,249.6722 ± 17.3751,0.015145073098726891,0.0013195595027157018,0.0151 ± 0.0013,0.43361052139052364,0.01528086849933165,0.4336 ± 0.0153
