generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,3.180730,0.011285,5.337370,0.008402,2.867765,0.014031
2,3.174289,0.016307,5.607132,0.042463,2.875364,0.020875
3,3.180687,0.020545,5.730041,0.024967,2.880941,0.024022
4,3.171936,0.026327,5.700454,0.029880,2.866839,0.028664
5,3.164598,0.021162,5.718598,0.050084,2.859331,0.027838
6,3.171868,0.015461,5.732815,0.029785,2.865296,0.013707
7,3.166469,0.017564,5.716117,0.027699,2.856014,0.015178
8,3.181036,0.020949,5.713086,0.030196,2.868337,0.024969
9,3.171672,0.017846,5.710344,0.034546,2.860715,0.022193
10,3.181887,0.020573,5.703446,0.040654,2.862968,0.023385
11,3.175122,0.021546,5.681800,0.028631,2.856255,0.018956
12,3.179156,0.022741,5.686640,0.020926,2.857845,0.020503
13,3.171993,0.017611,5.701973,0.036922,2.850578,0.020503
14,3.178729,0.013020,5.693397,0.015758,2.853515,0.018886
15,3.160256,0.013265,5.690479,0.033948,2.837074,0.015077
16,3.176501,0.013202,5.704483,0.018450,2.850534,0.015445
17,3.177009,0.018138,5.707577,0.041494,2.847791,0.019506
18,3.174878,0.026817,5.682822,0.042693,2.844814,0.025568
19,3.174959,0.009206,5.676574,0.050375,2.845812,0.008563
20,3.174579,0.011742,5.670487,0.046743,2.841545,0.007206
21,3.171938,0.027235,5.677833,0.039191,2.837979,0.025780
22,3.165474,0.015869,5.668405,0.036100,2.832885,0.017102
23,3.189533,0.013705,5.677499,0.051654,2.850503,0.014306
24,3.163393,0.014838,5.668599,0.040829,2.828406,0.016147
25,3.170538,0.011109,5.683326,0.020089,2.835596,0.010230
26,3.186222,0.029210,5.693974,0.041449,2.847845,0.023756
27,3.177288,0.016157,5.701292,0.021049,2.837326,0.017249
28,3.162030,0.019732,5.663227,0.030413,2.825655,0.020186
29,3.158781,0.022452,5.653135,0.046113,2.823099,0.018275
30,3.172401,0.017892,5.684083,0.031120,2.832992,0.016076
31,3.159016,0.012040,5.662257,0.021872,2.820966,0.011597
32,3.161392,0.019746,5.650032,0.027455,2.821385,0.017362
33,3.164275,0.023436,5.633161,0.034062,2.826693,0.022034
34,3.190003,0.012255,5.701839,0.027063,2.850457,0.008854
35,3.178801,0.014822,5.680157,0.023973,2.842507,0.011546
36,3.176970,0.020921,5.665671,0.029150,2.837340,0.018724
37,3.173617,0.015817,5.659330,0.032605,2.837848,0.011240
38,3.179630,0.012123,5.673290,0.018393,2.839957,0.012745
39,3.170925,0.016334,5.667002,0.034121,2.833067,0.016296
40,3.184883,0.023376,5.679836,0.044500,2.847431,0.019527
41,3.181550,0.015919,5.660627,0.035721,2.844785,0.017499
42,3.179734,0.013522,5.646316,0.025784,2.841788,0.012333
43,3.160335,0.016264,5.655608,0.026472,2.823801,0.013667
44,3.169834,0.024627,5.663942,0.031282,2.828741,0.021182
45,3.173424,0.020247,5.645923,0.042618,2.834693,0.019341
46,3.175101,0.013489,5.647575,0.019412,2.834740,0.010822
47,3.171457,0.014156,5.652397,0.031120,2.832553,0.012797
48,3.180039,0.018846,5.654440,0.021960,2.839600,0.017698
49,3.181340,0.014604,5.633537,0.036893,2.843947,0.011330
50,3.169835,0.020528,5.635621,0.037576,2.830087,0.017968
51,3.188215,0.030881,5.656038,0.024621,2.849918,0.029317
52,3.179131,0.021180,5.659078,0.017568,2.845263,0.019640
53,3.169469,0.034016,5.627405,0.023577,2.830129,0.028021
54,3.168636,0.011909,5.646508,0.025276,2.830701,0.011023
55,3.162502,0.016482,5.628769,0.039379,2.825478,0.017247
56,3.167944,0.014093,5.636083,0.031783,2.829832,0.016210
