generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,0.799011,0.014900,3.008983,0.310996,0.723943,0.034388
2,0.811573,0.027705,2.926838,0.309768,0.757175,0.060274
3,0.804481,0.016171,2.851310,0.255675,0.743304,0.040406
4,0.812256,0.030703,2.684079,0.189675,0.736561,0.037105
5,0.807441,0.022615,2.582226,0.141419,0.724917,0.044126
6,0.818560,0.013859,2.545115,0.108125,0.725013,0.029847
7,0.802397,0.025957,2.437479,0.062551,0.703545,0.040118
8,0.817424,0.028971,2.375796,0.066624,0.712587,0.045708
9,0.812671,0.024008,2.362229,0.062762,0.701056,0.044872
10,0.786277,0.023300,2.333150,0.071045,0.667091,0.022184
11,0.808123,0.013487,2.294616,0.073157,0.676724,0.025449
12,0.808522,0.024583,2.261555,0.066721,0.670645,0.029861
13,0.818540,0.022437,2.226320,0.068816,0.673042,0.028378
14,0.802581,0.023479,2.233269,0.077246,0.648492,0.029329
15,0.810168,0.024053,2.175751,0.075823,0.649368,0.026954
16,0.822165,0.024038,2.178084,0.069202,0.652228,0.033678
17,0.817090,0.017226,2.155481,0.061929,0.638755,0.025485
18,0.788974,0.025433,2.113792,0.079520,0.611918,0.030458
19,0.812136,0.023441,2.089468,0.061180,0.619455,0.030807
20,0.811867,0.019936,2.047277,0.044492,0.614403,0.033301
21,0.810148,0.017649,2.019163,0.081228,0.609672,0.028462
22,0.815387,0.011374,2.011787,0.087944,0.608034,0.021806
23,0.796362,0.016862,1.991791,0.084741,0.590975,0.022021
24,0.798696,0.013300,1.974463,0.064725,0.583943,0.020029
25,0.802499,0.029390,1.935336,0.060761,0.585528,0.026578
26,0.795637,0.018574,1.891727,0.079218,0.575202,0.017999
27,0.792056,0.028887,1.882743,0.073219,0.570791,0.018604
28,0.813224,0.026891,1.844299,0.063575,0.587910,0.020434
29,0.802201,0.031420,1.838490,0.084519,0.571161,0.021389
30,0.812689,0.018931,1.815785,0.095416,0.579683,0.012986
31,0.799464,0.010389,1.778189,0.084938,0.559314,0.005931
32,0.801550,0.026516,1.733853,0.086360,0.570185,0.015758
33,0.811318,0.031181,1.739598,0.077760,0.569032,0.023087
34,0.816159,0.014021,1.700067,0.082038,0.581288,0.017664
35,0.790826,0.024261,1.648090,0.082042,0.564148,0.015960
36,0.810050,0.017639,1.637422,0.081358,0.585372,0.020153
37,0.805363,0.018955,1.619607,0.083996,0.576421,0.013274
38,0.815632,0.021506,1.554032,0.084568,0.584460,0.014215
39,0.808870,0.016936,1.556420,0.112879,0.589714,0.014727
40,0.804207,0.018644,1.544982,0.102944,0.571458,0.021943
41,0.797618,0.037411,1.522674,0.097936,0.570256,0.028553
42,0.812632,0.027724,1.500109,0.097686,0.571274,0.008598
43,0.795133,0.031101,1.446015,0.107158,0.567668,0.015144
44,0.805764,0.016382,1.427119,0.093479,0.581671,0.025743
45,0.794065,0.013907,1.418674,0.106729,0.575049,0.010089
46,0.810618,0.021349,1.400762,0.113019,0.575698,0.004999
47,0.804831,0.034739,1.349499,0.104131,0.569898,0.024777
48,0.807613,0.024336,1.325964,0.097066,0.580557,0.011739
49,0.801088,0.016991,1.314111,0.117224,0.575550,0.015063
50,0.819357,0.021156,1.313074,0.136296,0.581604,0.011724
51,0.823993,0.021611,1.269947,0.100685,0.593416,0.024197
52,0.803675,0.019968,1.235030,0.105670,0.578666,0.022131
53,0.806697,0.022865,1.213191,0.148679,0.573301,0.011831
54,0.799873,0.024057,1.222227,0.104536,0.565200,0.016041
55,0.797435,0.028136,1.204624,0.114968,0.566407,0.018420
56,0.804823,0.023719,1.196588,0.127411,0.576011,0.015314
57,0.818013,0.013994,1.143657,0.111703,0.584449,0.021468
58,0.805415,0.016506,1.130197,0.139486,0.572549,0.014599
59,0.808176,0.027549,1.185284,0.138041,0.577510,0.014198
60,0.801890,0.025298,1.189431,0.153565,0.570386,0.015920
61,0.806417,0.024652,1.088124,0.106976,0.571953,0.017484
62,0.810820,0.021209,1.142624,0.096183,0.579390,0.013900
63,0.793076,0.022311,1.051696,0.105240,0.566746,0.020719
64,0.802005,0.027464,1.044193,0.121999,0.569885,0.015799
65,0.817688,0.030123,1.017415,0.100137,0.580900,0.019860
66,0.798483,0.020278,1.072677,0.124134,0.570586,0.015581
67,0.800213,0.021811,1.015317,0.106896,0.565632,0.016651
68,0.795186,0.008796,0.973994,0.090505,0.568596,0.014611
69,0.814637,0.025191,0.969017,0.116139,0.580972,0.013749
70,0.810799,0.023867,0.994254,0.112861,0.567828,0.009930
71,0.781645,0.018928,0.940220,0.093839,0.554006,0.011471
72,0.790523,0.018272,0.943366,0.075821,0.569318,0.015512
73,0.799449,0.019811,1.031920,0.096030,0.572992,0.012556
74,0.800024,0.022432,0.997033,0.080873,0.568507,0.011828
75,0.805119,0.015890,0.912026,0.089960,0.572358,0.015216
76,0.803966,0.020472,0.926698,0.143469,0.576605,0.013604
77,0.821345,0.014778,0.994634,0.168874,0.578555,0.017359
78,0.799870,0.014318,0.968417,0.171910,0.562136,0.010918
79,0.798450,0.027391,0.926911,0.095419,0.558371,0.020692
80,0.809604,0.014662,0.869520,0.102840,0.583281,0.015452
81,0.803227,0.020259,0.855076,0.099945,0.570204,0.013680
82,0.807889,0.028710,0.838212,0.081949,0.568710,0.021164
83,0.799886,0.021598,0.921465,0.162485,0.572346,0.018993
84,0.801424,0.014664,0.961570,0.129721,0.577943,0.018641
85,0.798060,0.010073,0.847833,0.100721,0.575414,0.007099
86,0.805971,0.020860,0.867183,0.079156,0.558072,0.021908
87,0.806638,0.011181,0.875265,0.071609,0.581226,0.007571
88,0.797968,0.025479,0.829588,0.069947,0.549645,0.017478
89,0.812426,0.016708,0.832141,0.058534,0.579843,0.015867
90,0.809602,0.016529,0.784687,0.051373,0.574556,0.015132
91,0.803769,0.025261,0.803442,0.069185,0.560528,0.019944
92,0.804696,0.016698,0.852547,0.155037,0.573525,0.016799
93,0.804767,0.021398,0.819051,0.115809,0.559931,0.022115
94,0.807173,0.019264,0.819777,0.086642,0.567380,0.011836
95,0.800255,0.028885,0.848118,0.089110,0.573311,0.028608
96,0.808517,0.018231,0.825526,0.093336,0.576226,0.016598
97,0.815392,0.017787,0.836958,0.081930,0.575215,0.020630
98,0.803127,0.019553,0.757818,0.040470,0.573844,0.015082
99,0.799927,0.026624,0.808572,0.072061,0.584392,0.014254
100,0.794884,0.015623,0.788111,0.075424,0.565427,0.016751
101,0.805062,0.012724,0.884213,0.114815,0.571449,0.017255
102,0.817941,0.026613,0.785862,0.083196,0.582124,0.016865
103,0.799824,0.020289,0.849941,0.166136,0.566951,0.012166
104,0.808720,0.022617,0.757078,0.046110,0.572959,0.016397
105,0.808198,0.016730,0.864585,0.137523,0.572677,0.021888
106,0.819318,0.028380,0.784994,0.111751,0.579796,0.014139
107,0.813353,0.014321,0.755937,0.057488,0.566336,0.012779
108,0.808771,0.016315,0.766981,0.089638,0.565844,0.013613
109,0.790744,0.013550,0.774799,0.053914,0.571349,0.015810
110,0.799171,0.021727,0.800721,0.145150,0.571668,0.019746
111,0.809933,0.016135,0.800515,0.092249,0.569045,0.017850
112,0.807219,0.013873,0.785627,0.103198,0.579421,0.008694
113,0.817725,0.017986,0.750672,0.086814,0.581296,0.014628
114,0.791520,0.019273,0.784879,0.103305,0.568860,0.015208
115,0.802613,0.022077,0.764595,0.053721,0.570505,0.018386
116,0.817035,0.022480,0.745153,0.055571,0.579020,0.009703
117,0.806074,0.018607,0.751570,0.070676,0.573618,0.012670
118,0.813712,0.013642,0.764345,0.043963,0.576781,0.009722
119,0.805885,0.012597,0.775067,0.096829,0.571227,0.015472
120,0.797549,0.017044,0.775769,0.049777,0.569929,0.016769
121,0.791816,0.025424,0.719310,0.027895,0.569346,0.015923
122,0.806708,0.028587,0.839277,0.137967,0.575400,0.022041
123,0.792702,0.022743,0.734229,0.080586,0.567527,0.014456
124,0.802718,0.011796,0.710663,0.049133,0.566577,0.010666
125,0.810155,0.029007,0.799310,0.114617,0.571635,0.024104
126,0.805243,0.015867,0.722405,0.031755,0.573579,0.016525
127,0.810877,0.017111,0.775642,0.084513,0.573751,0.011158
128,0.802872,0.024295,0.783377,0.110151,0.575881,0.011285
129,0.802344,0.024655,0.781585,0.122549,0.571141,0.020355
130,0.815011,0.021134,0.830444,0.109202,0.576274,0.009893
131,0.808508,0.024157,0.781841,0.085260,0.565021,0.020281
132,0.798688,0.023413,0.788656,0.084424,0.567576,0.023195
133,0.807911,0.025998,0.749052,0.075050,0.577993,0.019015
134,0.818203,0.027175,0.783908,0.064628,0.582538,0.023460
135,0.791736,0.013945,0.749287,0.050788,0.560885,0.019498
136,0.803956,0.021779,0.755851,0.084123,0.562743,0.017828
137,0.805002,0.022293,0.723370,0.026771,0.578015,0.021030
138,0.800224,0.022597,0.726494,0.033814,0.571094,0.012181
139,0.793395,0.013308,0.797201,0.108305,0.571197,0.012194
140,0.804375,0.013940,0.770243,0.074764,0.572951,0.022185
141,0.808112,0.016853,0.784710,0.087436,0.572580,0.013748
142,0.791453,0.009436,0.691281,0.033085,0.554204,0.015228
143,0.804547,0.014349,0.744505,0.053783,0.567669,0.014474
