generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,1.114450,0.015387,4.409679,0.318638,1.025223,0.035656
2,1.094561,0.028451,4.737132,0.301623,1.026035,0.046140
3,1.092900,0.017784,4.701160,0.354490,1.018831,0.037628
4,1.104472,0.015375,4.608824,0.504370,1.023113,0.037898
5,1.100863,0.018736,4.354722,0.473226,1.011922,0.034438
6,1.095654,0.027734,4.347412,0.542850,0.997603,0.045185
7,1.095272,0.015140,4.180901,0.541196,0.989852,0.027981
8,1.090772,0.022775,4.154611,0.543155,0.981742,0.038132
9,1.098302,0.018132,3.938601,0.449281,0.980139,0.033668
10,1.100910,0.024656,3.969105,0.487349,0.979175,0.042466
11,1.101393,0.021974,3.844113,0.533087,0.973035,0.031871
12,1.107472,0.016210,3.818977,0.524629,0.969324,0.022831
13,1.091552,0.018952,3.746788,0.527797,0.947658,0.025045
14,1.089336,0.019720,3.668253,0.524213,0.942118,0.017133
15,1.109213,0.013389,3.624130,0.525932,0.951093,0.021672
16,1.101804,0.029501,3.577699,0.545002,0.939817,0.020689
17,1.106246,0.020869,3.530095,0.579764,0.937862,0.021205
18,1.094314,0.022037,3.507091,0.568897,0.921497,0.025154
19,1.097901,0.018444,3.470564,0.589843,0.921516,0.025454
20,1.101194,0.032675,3.443604,0.601727,0.921857,0.038205
21,1.111529,0.014492,3.394652,0.613587,0.924845,0.022218
22,1.096466,0.015499,3.370659,0.602871,0.908098,0.028132
23,1.104668,0.028571,3.319836,0.641503,0.907808,0.038000
24,1.088972,0.020803,3.292759,0.609425,0.896629,0.020316
25,1.094251,0.014002,3.259998,0.655086,0.898052,0.017773
26,1.112298,0.021098,3.209419,0.595503,0.900729,0.015542
27,1.101040,0.025171,3.198371,0.653422,0.892177,0.025817
28,1.099822,0.023166,3.152916,0.690236,0.894698,0.013714
29,1.105032,0.029376,3.120611,0.687225,0.896785,0.015806
30,1.103066,0.016822,3.084646,0.716151,0.891749,0.015016
31,1.107578,0.012715,3.054040,0.724578,0.893584,0.020773
32,1.096448,0.020002,3.033089,0.720413,0.885251,0.022079
33,1.097978,0.022691,2.989685,0.718177,0.890010,0.012783
34,1.111499,0.013368,2.937957,0.755643,0.897447,0.016142
35,1.101084,0.017314,2.927732,0.783551,0.889868,0.011074
36,1.111026,0.026333,2.878263,0.772623,0.900616,0.019670
37,1.078844,0.019227,2.797542,0.766784,0.880925,0.012551
38,1.102405,0.030111,2.805897,0.801606,0.893173,0.019238
39,1.087915,0.029209,2.753493,0.812619,0.882387,0.017039
40,1.081147,0.012850,2.725649,0.817230,0.876769,0.011814
41,1.101177,0.020665,2.684975,0.848836,0.891083,0.016025
42,1.122577,0.017032,2.681555,0.824888,0.914044,0.014054
43,1.095717,0.020410,2.603158,0.854970,0.890574,0.018231
44,1.093584,0.017628,2.597753,0.872568,0.882243,0.010573
45,1.105129,0.025782,2.535813,0.871658,0.884270,0.020892
46,1.090949,0.016808,2.532688,0.908655,0.885122,0.013385
47,1.112560,0.017566,2.528607,0.869304,0.892192,0.015309
48,1.099675,0.020354,2.444168,0.921224,0.893676,0.018738
49,1.095070,0.021756,2.440409,0.893633,0.886864,0.017441
50,1.093276,0.019630,2.383965,0.929535,0.884903,0.015519
51,1.100178,0.016929,2.413067,0.914538,0.889253,0.018658
52,1.099577,0.012935,2.392262,0.921299,0.885435,0.005805
53,1.116803,0.021806,2.261286,0.996048,0.902562,0.019315
54,1.109689,0.025897,2.284216,0.981348,0.888585,0.018509
55,1.094963,0.009194,2.277754,0.981875,0.879569,0.012321
56,1.099991,0.020053,2.176380,0.989205,0.897281,0.008887
57,1.100935,0.015873,2.215088,0.978160,0.889660,0.009753
58,1.096283,0.027867,2.188087,0.985989,0.885278,0.022245
59,1.099321,0.021588,2.147498,1.020987,0.880944,0.014644
60,1.092107,0.027453,2.110493,1.037582,0.879297,0.023029
61,1.079952,0.013173,2.134098,1.024530,0.868841,0.009592
62,1.112780,0.018200,2.062440,1.044572,0.896255,0.017435
63,1.091519,0.019860,2.041501,1.040836,0.885379,0.012370
64,1.100272,0.021191,2.019131,1.038655,0.890917,0.020433
65,1.093304,0.030820,2.048944,1.051113,0.879358,0.019569
66,1.100826,0.018415,1.982036,1.063997,0.889810,0.016784
67,1.089943,0.025090,2.014049,1.062478,0.884445,0.014946
68,1.095384,0.015984,1.983530,1.070276,0.886537,0.011912
69,1.085825,0.018547,1.980363,1.069099,0.878682,0.019201
70,1.097276,0.017648,1.906296,1.116923,0.879213,0.021900
71,1.105497,0.025107,1.885982,1.112991,0.894724,0.019021
72,1.118532,0.016183,1.873242,1.089160,0.904233,0.012556
73,1.096544,0.021996,1.920252,1.093704,0.883755,0.025182
74,1.102533,0.026586,1.831494,1.117079,0.885522,0.019807
75,1.101402,0.016201,1.819034,1.127783,0.889265,0.010830
76,1.105152,0.011845,1.865623,1.107117,0.891019,0.009758
77,1.106340,0.018355,1.811919,1.119992,0.887607,0.021044
78,1.097158,0.019571,1.768392,1.123241,0.881661,0.014505
79,1.104356,0.022300,1.763947,1.123587,0.887243,0.019085
80,1.099026,0.029928,1.768457,1.146505,0.889216,0.020469
81,1.098589,0.021827,1.797728,1.118941,0.880754,0.017854
82,1.096604,0.023970,1.759884,1.139274,0.884058,0.021307
83,1.109063,0.016853,1.765507,1.105357,0.893344,0.008775
84,1.096524,0.021151,1.743392,1.144678,0.884710,0.014777
85,1.101981,0.015306,1.713777,1.151411,0.889487,0.013270
86,1.112832,0.013960,1.751173,1.141910,0.895318,0.014015
87,1.094424,0.026605,1.704811,1.150827,0.880223,0.021568
88,1.102229,0.025341,1.741675,1.157390,0.889734,0.019711
89,1.097566,0.022238,1.682899,1.157472,0.879614,0.026210
90,1.102135,0.020001,1.690636,1.158463,0.885218,0.017808
91,1.110522,0.017181,1.746556,1.140069,0.895360,0.011933
92,1.103037,0.025937,1.655047,1.159324,0.891208,0.020428
93,1.106825,0.019842,1.640171,1.192225,0.888142,0.014055
94,1.093186,0.021567,1.675823,1.162665,0.880464,0.016114
95,1.114441,0.019237,1.718163,1.138369,0.893078,0.013161
96,1.095275,0.026383,1.749270,1.142280,0.880283,0.016898
97,1.099311,0.023698,1.642786,1.184415,0.885247,0.021963
98,1.092507,0.017897,1.713957,1.156576,0.884019,0.021845
99,1.110474,0.024669,1.664390,1.172790,0.887097,0.012481
100,1.091280,0.021430,1.644376,1.165213,0.881244,0.018752
101,1.106163,0.023428,1.690957,1.161790,0.889438,0.020382
102,1.095222,0.017051,1.700947,1.148037,0.882179,0.010971
103,1.104858,0.013897,1.607403,1.184763,0.887224,0.017420
104,1.103891,0.021337,1.611933,1.181102,0.882891,0.015197
105,1.088584,0.022432,1.632725,1.170567,0.882727,0.015871
106,1.106553,0.023472,1.621380,1.160958,0.887915,0.021080
107,1.106742,0.023216,1.621702,1.157944,0.887089,0.012834
108,1.117937,0.015190,1.624466,1.178072,0.894350,0.013968
109,1.100449,0.028670,1.638999,1.178316,0.883714,0.022360
110,1.083859,0.030366,1.671305,1.159083,0.879321,0.020967
111,1.096792,0.017631,1.639490,1.178945,0.891402,0.010184
112,1.095548,0.020480,1.678592,1.157849,0.885744,0.021070
113,1.092525,0.011880,1.659542,1.159790,0.878818,0.010972
114,1.106840,0.012670,1.650390,1.181274,0.890828,0.012087
115,1.106150,0.020804,1.555381,1.184697,0.888731,0.020188
116,1.099760,0.014582,1.608782,1.198842,0.886875,0.010164
117,1.093594,0.028163,1.552381,1.208013,0.878257,0.020531
118,1.104368,0.013431,1.611041,1.176842,0.885172,0.016845
119,1.103640,0.026154,1.612723,1.160143,0.887123,0.018258
120,1.098178,0.030996,1.594755,1.189421,0.884885,0.022817
121,1.091999,0.019460,1.613266,1.192356,0.883224,0.018855
122,1.095756,0.024244,1.599336,1.175582,0.880408,0.018669
123,1.090393,0.018816,1.621781,1.185227,0.886365,0.016586
124,1.096657,0.016323,1.556656,1.206192,0.887645,0.012507
125,1.084345,0.013155,1.571383,1.201415,0.873085,0.012192
126,1.107165,0.015433,1.594574,1.199060,0.890290,0.013171
127,1.091411,0.026400,1.582405,1.195635,0.881209,0.019315
128,1.114514,0.013169,1.613833,1.164478,0.892694,0.015277
129,1.104178,0.016736,1.587154,1.181899,0.891637,0.022467
130,1.106377,0.017611,1.614847,1.175990,0.892768,0.015807
131,1.091349,0.017127,1.551936,1.223761,0.882587,0.018106
132,1.105899,0.013845,1.626066,1.188116,0.883802,0.014373
133,1.098701,0.014309,1.557658,1.205015,0.887605,0.013814
134,1.096204,0.018235,1.576728,1.187575,0.884122,0.014082
135,1.092463,0.020564,1.561208,1.195079,0.884822,0.011653
136,1.103612,0.018600,1.585097,1.206588,0.888215,0.013029
137,1.108565,0.025289,1.578917,1.204874,0.894082,0.019648
138,1.089693,0.026344,1.600947,1.197706,0.875695,0.016537
139,1.098860,0.024485,1.567288,1.202401,0.888052,0.018949
140,1.090445,0.018838,1.547703,1.202250,0.873766,0.012313
141,1.088974,0.021655,1.616617,1.184566,0.886384,0.016214
142,1.090183,0.016664,1.543637,1.216750,0.887158,0.005704
143,1.115427,0.015269,1.635470,1.181190,0.899133,0.015106
144,1.094122,0.012794,1.558855,1.199269,0.880195,0.017521
145,1.095669,0.026884,1.603190,1.182212,0.885388,0.020695
146,1.097570,0.018255,1.566701,1.209059,0.891262,0.020123
147,1.104082,0.012541,1.560630,1.197071,0.896744,0.007279
148,1.098760,0.010639,1.544424,1.206259,0.890457,0.009103
149,1.113770,0.028547,1.572204,1.187484,0.901299,0.022214
150,1.106901,0.017218,1.635906,1.162375,0.885708,0.016150
151,1.090541,0.017179,1.546079,1.188453,0.880289,0.010615
152,1.101510,0.018175,1.568202,1.182428,0.878875,0.009111
153,1.097849,0.017315,1.542926,1.196552,0.882455,0.017528
154,1.094055,0.029235,1.547120,1.206975,0.882966,0.021484
155,1.093019,0.014060,1.550876,1.201217,0.879579,0.010607
156,1.096949,0.020898,1.586280,1.188768,0.878446,0.016052
157,1.108484,0.025574,1.586008,1.189431,0.887289,0.018931
158,1.099714,0.018338,1.601940,1.181967,0.882918,0.011954
159,1.103842,0.026219,1.570846,1.204432,0.884827,0.023162
160,1.106179,0.017718,1.595947,1.179623,0.895019,0.008981
161,1.102194,0.013778,1.579108,1.193909,0.886488,0.010283
162,1.102206,0.021808,1.565350,1.199697,0.893567,0.011053
163,1.102178,0.018950,1.589757,1.181114,0.885926,0.013081
164,1.105266,0.012079,1.567797,1.187663,0.887888,0.015692
165,1.087052,0.017280,1.553650,1.197288,0.877771,0.011501
166,1.095689,0.027649,1.595856,1.186019,0.887219,0.024264
167,1.085529,0.021120,1.592809,1.191869,0.878063,0.017564
168,1.091334,0.014865,1.622583,1.185568,0.889902,0.009564
169,1.100806,0.015752,1.588849,1.193381,0.888745,0.016423
170,1.096541,0.021913,1.593069,1.189622,0.878987,0.010747
171,1.106427,0.016724,1.611813,1.180319,0.890792,0.014254
172,1.103129,0.029266,1.558020,1.197684,0.887440,0.020061
173,1.107974,0.017890,1.614701,1.171642,0.889439,0.013621
174,1.101481,0.012567,1.586274,1.185285,0.895790,0.017694
175,1.102823,0.030236,1.579635,1.202856,0.891242,0.017037
176,1.098819,0.020644,1.558940,1.200885,0.888150,0.019403
177,1.113877,0.013450,1.594587,1.206200,0.896841,0.013254
178,1.115198,0.013499,1.588910,1.189300,0.891474,0.008929
179,1.091660,0.015886,1.594901,1.200999,0.880433,0.018996
180,1.105941,0.026067,1.573287,1.190148,0.891364,0.025706
181,1.097598,0.022476,1.556464,1.194052,0.881117,0.017138
182,1.108557,0.022185,1.569891,1.203759,0.894573,0.009009
183,1.105093,0.024748,1.554937,1.199992,0.890492,0.018518
184,1.096071,0.015856,1.566564,1.203785,0.886954,0.010931
185,1.098365,0.022284,1.564892,1.200929,0.884524,0.014735
186,1.090598,0.014792,1.572813,1.209455,0.884450,0.021548
187,1.092677,0.014708,1.564889,1.214277,0.886614,0.014780
188,1.087673,0.022550,1.578460,1.196275,0.887951,0.013372
189,1.111927,0.009787,1.540552,1.198072,0.895636,0.013916
190,1.108717,0.020293,1.555123,1.188850,0.897608,0.014906
191,1.095061,0.018030,1.558670,1.210746,0.880448,0.013863
192,1.086476,0.015101,1.567211,1.203208,0.881361,0.012073
193,1.093052,0.024742,1.565762,1.195820,0.888434,0.013320
194,1.090435,0.015221,1.543286,1.201072,0.880654,0.015231
195,1.094915,0.024835,1.569289,1.195136,0.887752,0.018093
196,1.101823,0.017283,1.540505,1.212089,0.885853,0.014136
197,1.090362,0.020150,1.565188,1.192222,0.884313,0.016561
198,1.102351,0.021325,1.603633,1.183158,0.891554,0.019864
199,1.100854,0.020797,1.602497,1.180204,0.885934,0.012936
200,1.096354,0.018598,1.547978,1.209937,0.884328,0.014467
