generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,1.360425,0.020300,4.663063,0.022483,1.228346,0.032281
2,1.355827,0.019670,5.035072,0.018217,1.238130,0.022620
3,1.363590,0.021407,5.089728,0.018285,1.240343,0.025332
4,1.359940,0.021917,5.082974,0.040449,1.230908,0.033542
5,1.357517,0.019999,5.109690,0.028335,1.223176,0.033364
6,1.366000,0.025199,5.079351,0.026776,1.225118,0.027614
7,1.363166,0.014646,5.070719,0.026074,1.216912,0.024290
8,1.350177,0.014882,5.062877,0.024625,1.204559,0.022596
9,1.375287,0.021571,5.057729,0.041135,1.220560,0.037667
10,1.373167,0.025386,5.065868,0.039397,1.216149,0.024464
11,1.355822,0.018646,5.053857,0.039329,1.194614,0.029040
12,1.351909,0.019870,5.065867,0.050299,1.188902,0.018574
13,1.363052,0.026230,5.051975,0.024821,1.192125,0.027785
14,1.363957,0.011523,5.043712,0.040292,1.188712,0.014191
15,1.368931,0.016309,5.041911,0.037704,1.188563,0.017812
16,1.361978,0.021803,5.027022,0.035034,1.180407,0.022212
17,1.358371,0.018454,5.038089,0.018416,1.172942,0.027428
18,1.360536,0.026176,5.030100,0.046248,1.168465,0.023249
19,1.348923,0.019824,5.033308,0.043204,1.157760,0.015248
20,1.349511,0.018423,4.989766,0.048568,1.152930,0.017617
21,1.344694,0.018447,4.981375,0.048037,1.149232,0.022485
22,1.366489,0.022462,4.997608,0.033693,1.161095,0.017432
23,1.361403,0.010341,5.008669,0.022422,1.154651,0.011739
24,1.360955,0.014660,4.986250,0.022822,1.151775,0.015207
25,1.353141,0.019244,4.989487,0.030357,1.144802,0.020510
26,1.357238,0.016150,5.016107,0.022500,1.144101,0.014145
27,1.363716,0.019662,4.999557,0.038035,1.152479,0.012657
28,1.350430,0.013075,4.994668,0.026407,1.139885,0.006933
29,1.352335,0.016737,4.987543,0.028159,1.141254,0.014934
30,1.366812,0.020902,4.947715,0.037424,1.148597,0.020335
31,1.366970,0.021584,4.991674,0.026943,1.152874,0.015961
32,1.345000,0.026756,4.972409,0.034061,1.137262,0.023038
33,1.359072,0.028430,4.959021,0.049692,1.145007,0.022357
34,1.362531,0.012041,4.971342,0.045360,1.143457,0.015723
35,1.361562,0.021624,4.957475,0.044964,1.147740,0.018804
36,1.343934,0.022719,4.961860,0.033178,1.139747,0.020180
37,1.362182,0.016877,4.935134,0.041729,1.144792,0.012718
38,1.349479,0.013453,4.921846,0.036352,1.143623,0.017683
39,1.362706,0.019673,4.943540,0.043745,1.153761,0.015362
40,1.363958,0.018911,4.938065,0.038107,1.149512,0.022161
41,1.360896,0.012004,4.933773,0.025121,1.146717,0.015871
42,1.360229,0.025941,4.955244,0.033327,1.147082,0.020293
43,1.360636,0.029786,4.943501,0.034819,1.151431,0.012544
44,1.352821,0.013690,4.943230,0.041780,1.141839,0.022627
45,1.358215,0.024123,4.921731,0.039017,1.143385,0.020523
46,1.367085,0.015293,4.925569,0.042707,1.152551,0.015318
47,1.367901,0.029672,4.920858,0.035642,1.151234,0.030956
48,1.352927,0.018095,4.886750,0.028776,1.143822,0.019728
49,1.351907,0.021611,4.910058,0.021461,1.145123,0.013906
50,1.353519,0.017574,4.904696,0.024532,1.140610,0.017258
51,1.366882,0.028149,4.890469,0.033895,1.152769,0.019075
52,1.341058,0.011328,4.904884,0.023673,1.128185,0.009673
53,1.358615,0.013602,4.899831,0.031432,1.145170,0.013304
54,1.371056,0.009555,4.890230,0.029291,1.151059,0.006088
55,1.352263,0.012373,4.899244,0.016133,1.141662,0.010737
56,1.356581,0.025675,4.878850,0.031531,1.144025,0.026192
57,1.362194,0.020543,4.882380,0.036271,1.142626,0.018192
58,1.367861,0.025290,4.890474,0.020575,1.151025,0.016354
59,1.355141,0.020377,4.864836,0.040814,1.141700,0.019021
60,1.363169,0.020245,4.866023,0.030944,1.149625,0.018564
61,1.362206,0.016909,4.866822,0.037593,1.147008,0.016115
62,1.355760,0.024827,4.854082,0.026655,1.138898,0.025169
63,1.375183,0.019790,4.867604,0.034657,1.155474,0.016735
64,1.367521,0.032030,4.880619,0.025940,1.149252,0.029192
65,1.364718,0.016462,4.892567,0.030069,1.154621,0.016997
66,1.363291,0.024546,4.877397,0.018431,1.147308,0.014688
67,1.354162,0.014175,4.869143,0.016459,1.137563,0.011748
68,1.345808,0.020445,4.869462,0.028703,1.134468,0.021720
69,1.361015,0.017316,4.876644,0.029715,1.146764,0.015346
70,1.369628,0.016878,4.880720,0.013017,1.154237,0.016851
71,1.366495,0.014882,4.867312,0.038576,1.149448,0.010666
72,1.362446,0.009170,4.850362,0.024503,1.143537,0.008478
73,1.348710,0.021721,4.861034,0.030788,1.136647,0.019419
74,1.345447,0.030418,4.880236,0.030368,1.139780,0.026524
75,1.366517,0.018805,4.858090,0.016885,1.152803,0.013451
76,1.362593,0.013499,4.837973,0.021587,1.143152,0.012376
77,1.358355,0.019842,4.842241,0.020351,1.141153,0.017772
78,1.361076,0.016997,4.856034,0.043269,1.143348,0.016388
79,1.364477,0.016734,4.838282,0.039058,1.150299,0.012672
80,1.364693,0.018573,4.839870,0.046348,1.145310,0.016840
81,1.362479,0.018621,4.842068,0.025802,1.146961,0.012422
82,1.369733,0.015832,4.861454,0.020648,1.150101,0.014101
83,1.362265,0.021089,4.854131,0.025959,1.152005,0.019803
84,1.361181,0.016396,4.855823,0.031194,1.144407,0.016981
85,1.352251,0.014925,4.850589,0.038531,1.143083,0.018686
86,1.362329,0.017768,4.828997,0.034537,1.142109,0.011765
87,1.349897,0.018839,4.846010,0.046080,1.141544,0.012163
88,1.371967,0.023018,4.845251,0.028421,1.154342,0.020554
89,1.352452,0.020755,4.836407,0.024400,1.145476,0.016759
90,1.363434,0.015724,4.842470,0.026052,1.149031,0.014322
91,1.355812,0.019532,4.833082,0.028825,1.137917,0.011919
92,1.345307,0.021297,4.836763,0.020446,1.131354,0.016664
93,1.356585,0.021736,4.832960,0.027486,1.138114,0.011115
94,1.355151,0.015830,4.838925,0.020459,1.140010,0.013178
95,1.370258,0.026725,4.829509,0.026877,1.149369,0.021123
96,1.356049,0.020657,4.813279,0.015471,1.142402,0.019648
97,1.352375,0.021026,4.837789,0.026898,1.135211,0.018209
98,1.360149,0.020691,4.834697,0.027334,1.145244,0.014454
99,1.358372,0.022858,4.821862,0.039965,1.140189,0.021109
100,1.361884,0.011812,4.842281,0.032548,1.150180,0.010515
101,1.369350,0.023584,4.854791,0.030980,1.153745,0.018975
102,1.373169,0.029538,4.834994,0.018492,1.152163,0.021602
103,1.357590,0.019892,4.841474,0.025879,1.144824,0.017515
104,1.354410,0.012231,4.842406,0.023888,1.143710,0.010893
105,1.344474,0.021132,4.826414,0.020644,1.126768,0.019759
106,1.363480,0.023572,4.833738,0.009955,1.155710,0.022309
107,1.371700,0.019047,4.817624,0.028941,1.157798,0.014488
108,1.358370,0.018769,4.825089,0.016471,1.145241,0.015634
109,1.345286,0.016448,4.822566,0.016862,1.133517,0.018913
110,1.353685,0.017150,4.834489,0.022012,1.141720,0.013058
111,1.365563,0.010901,4.836433,0.021675,1.147396,0.010515
112,1.362694,0.013096,4.820657,0.034191,1.145629,0.011794
113,1.358158,0.009223,4.820302,0.021652,1.142172,0.011263
114,1.363754,0.017884,4.817196,0.029525,1.149826,0.016620
115,1.369577,0.028977,4.800659,0.033292,1.146452,0.024347
116,1.357322,0.022502,4.828972,0.030337,1.144908,0.018535
117,1.361209,0.021446,4.813805,0.024764,1.143656,0.017619
118,1.348592,0.015565,4.795105,0.022838,1.131703,0.014317
119,1.360337,0.017242,4.810179,0.035986,1.142329,0.008936
120,1.343667,0.018345,4.831988,0.033815,1.134199,0.019697
121,1.366238,0.012923,4.821908,0.028136,1.150140,0.018620
122,1.357306,0.026303,4.818161,0.032257,1.140532,0.026617
123,1.363707,0.019710,4.830487,0.023845,1.149016,0.018780
124,1.371583,0.019450,4.829756,0.023376,1.149450,0.019694
125,1.356360,0.027555,4.836631,0.023431,1.146312,0.025259
126,1.351463,0.013097,4.821401,0.033497,1.131098,0.015388
127,1.357841,0.010504,4.825546,0.018659,1.140375,0.008168
128,1.382897,0.011287,4.816279,0.035164,1.155089,0.009856
129,1.343257,0.019067,4.838795,0.025427,1.131493,0.019341
130,1.351768,0.026524,4.831063,0.014878,1.138858,0.026803
131,1.355158,0.021206,4.832966,0.014502,1.140668,0.016213
132,1.352933,0.013540,4.827933,0.025599,1.141733,0.009523
133,1.360638,0.023150,4.862685,0.035808,1.153997,0.019757
134,1.375511,0.018298,4.830551,0.027692,1.156043,0.023824
135,1.358762,0.037623,4.826661,0.036638,1.151852,0.026648
136,1.370224,0.030762,4.818199,0.023407,1.149944,0.023215
137,1.358216,0.013178,4.822335,0.023433,1.146037,0.014137
138,1.352693,0.013729,4.804559,0.039956,1.129729,0.012241
139,1.351642,0.011861,4.819204,0.027269,1.132887,0.011088
140,1.350213,0.023364,4.823588,0.032252,1.136308,0.016906
141,1.364272,0.020687,4.819170,0.045000,1.148558,0.016297
142,1.353390,0.014681,4.823874,0.013418,1.138774,0.010870
143,1.363625,0.019110,4.807856,0.026751,1.147171,0.014368
144,1.359183,0.024222,4.822289,0.029659,1.141059,0.015436
145,1.379268,0.019473,4.830964,0.019658,1.155001,0.015700
146,1.351287,0.024774,4.844293,0.037986,1.141542,0.025021
147,1.368195,0.028926,4.817475,0.019801,1.147993,0.025773
148,1.368084,0.017422,4.836663,0.029411,1.153976,0.015324
149,1.356298,0.030605,4.828387,0.023059,1.142752,0.019846
150,1.368361,0.017859,4.822222,0.031019,1.152182,0.011165
151,1.371610,0.014301,4.814621,0.023549,1.152714,0.019082
152,1.367148,0.007224,4.851829,0.019324,1.147987,0.008952
153,1.362540,0.013879,4.823937,0.024227,1.148747,0.018476
154,1.368232,0.026804,4.818389,0.022984,1.152698,0.021503
155,1.347698,0.011161,4.829498,0.009529,1.136974,0.015023
156,1.367014,0.014183,4.812525,0.029375,1.151559,0.008444
157,1.367808,0.015393,4.833766,0.040062,1.152531,0.011852
158,1.339760,0.020907,4.829187,0.026330,1.131676,0.019267
159,1.358139,0.014716,4.819840,0.028177,1.144846,0.013483
160,1.349464,0.025271,4.834824,0.029000,1.138772,0.017805
161,1.358434,0.017297,4.828296,0.026070,1.143651,0.011358
162,1.369099,0.020505,4.835599,0.024674,1.151314,0.017647
163,1.349714,0.018943,4.834584,0.025356,1.137284,0.018096
164,1.355302,0.020438,4.816390,0.025970,1.139737,0.015917
165,1.357725,0.021083,4.824673,0.023820,1.145209,0.012330
166,1.347290,0.018244,4.824233,0.031765,1.138577,0.019461
167,1.365512,0.012009,4.821618,0.031959,1.145399,0.010416
168,1.354062,0.021443,4.822642,0.031818,1.140191,0.017937
169,1.365111,0.019649,4.813785,0.028738,1.146841,0.016298
170,1.345171,0.019606,4.832441,0.032308,1.134985,0.014946
171,1.368939,0.023972,4.818673,0.037721,1.151483,0.026421
172,1.362215,0.016705,4.810607,0.039930,1.141245,0.008310
173,1.362227,0.019293,4.810015,0.028038,1.141474,0.014185
174,1.361826,0.020245,4.810827,0.033591,1.140794,0.015564
175,1.364830,0.020077,4.821983,0.021078,1.145724,0.015950
176,1.365946,0.012705,4.821229,0.031153,1.148732,0.009055
177,1.368961,0.029750,4.825550,0.025112,1.145637,0.024213
178,1.356654,0.020560,4.832047,0.021614,1.145394,0.020517
179,1.355076,0.021015,4.828944,0.024898,1.143504,0.018555
180,1.357695,0.018501,4.820514,0.012802,1.144030,0.013902
181,1.369418,0.021546,4.821376,0.020850,1.150931,0.011586
182,1.352734,0.021648,4.816609,0.031472,1.137854,0.013681
183,1.342261,0.015611,4.827701,0.028662,1.129375,0.011546
184,1.367975,0.018539,4.835857,0.028029,1.153612,0.015193
185,1.355296,0.016278,4.819529,0.024433,1.139421,0.014189
186,1.366313,0.016475,4.822575,0.017769,1.150347,0.019340
187,1.360652,0.011694,4.820599,0.031056,1.143473,0.008815
188,1.364050,0.018427,4.815620,0.017591,1.144193,0.023157
189,1.357520,0.016218,4.824410,0.024696,1.142276,0.011844
190,1.357074,0.011843,4.815561,0.032286,1.133449,0.008305
191,1.357644,0.017578,4.823250,0.024459,1.144508,0.015313
192,1.348659,0.015241,4.833027,0.022441,1.138359,0.013731
193,1.366871,0.010130,4.823365,0.027353,1.148814,0.015303
194,1.359782,0.015997,4.830578,0.026344,1.144997,0.016914
195,1.359469,0.015573,4.837692,0.034280,1.151174,0.015806
196,1.360399,0.013079,4.827911,0.024221,1.143611,0.012667
197,1.357047,0.014181,4.827664,0.035132,1.141608,0.018636
198,1.372536,0.021441,4.831301,0.023340,1.156949,0.015615
199,1.358178,0.015772,4.821571,0.023072,1.148825,0.010616
200,1.352656,0.021430,4.826847,0.015618,1.144643,0.017747
