generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
87,1.189860,0.021846,4.372501,1.041390,0.972779,0.019482
88,1.210781,0.021217,4.368481,1.094955,1.000697,0.014209
89,1.221513,0.029881,4.349143,1.146230,1.005645,0.022553
90,1.217923,0.023837,4.346902,1.116705,1.002086,0.022818
91,1.203134,0.016662,4.345630,1.115576,0.984749,0.015424
92,1.210519,0.021007,4.360967,1.098387,0.997224,0.019650
93,1.224828,0.016844,4.373170,1.107258,1.010226,0.014332
94,1.200246,0.013310,4.365963,1.076942,0.985735,0.012692
95,1.209193,0.014820,4.345128,1.128787,0.991686,0.016745
96,1.207497,0.024025,4.342272,1.108078,0.992186,0.024836
97,1.192846,0.014547,4.366297,1.080272,0.983607,0.010784
98,1.208443,0.019827,4.346237,1.145135,0.993900,0.018795
99,1.207464,0.015796,4.329977,1.153782,0.993328,0.011824
100,1.217428,0.018569,4.349852,1.113241,0.999545,0.010673
101,1.195895,0.026481,4.327119,1.157748,0.983410,0.019912
102,1.190397,0.017040,4.327656,1.160613,0.977748,0.012727
103,1.195127,0.022536,4.367127,1.075010,0.989954,0.020815
104,1.219558,0.026000,4.334854,1.097993,0.996746,0.014814
105,1.195124,0.022405,4.339399,1.168964,0.982386,0.017600
106,1.212569,0.028363,4.333042,1.140422,0.996032,0.021432
107,1.203231,0.005960,4.344767,1.144295,0.992782,0.010602
108,1.194873,0.014906,4.360099,1.070054,0.980309,0.014535
109,1.218588,0.021674,4.347267,1.098968,1.000610,0.018013
110,1.211088,0.016440,4.369929,1.058952,0.996560,0.012075
111,1.198757,0.025190,4.322746,1.182539,0.993331,0.020809
112,1.201164,0.022750,4.327190,1.172012,0.989384,0.018167
113,1.203057,0.016845,4.339192,1.143677,0.994725,0.014574
114,1.189155,0.017415,4.333939,1.168854,0.980598,0.013311
115,1.199817,0.019172,4.299979,1.165022,0.980495,0.018968
116,1.213959,0.033623,4.308318,1.182499,0.994580,0.022913
117,1.203959,0.017533,4.329424,1.169952,0.994971,0.012017
118,1.206437,0.021042,4.321124,1.180556,0.994818,0.019942
119,1.211049,0.019449,4.344838,1.125096,0.996603,0.015336
120,1.197434,0.025733,4.356269,1.151793,0.988569,0.019295
121,1.203071,0.028352,4.339023,1.192472,0.998500,0.023167
122,1.209848,0.016631,4.344250,1.131141,0.992900,0.012856
123,1.201580,0.019949,4.335921,1.158214,0.991606,0.012036
124,1.202831,0.023209,4.308575,1.149580,0.983527,0.019866
125,1.191991,0.012023,4.334460,1.108704,0.985273,0.011916
126,1.205041,0.009748,4.335423,1.135353,0.996038,0.013862
127,1.197160,0.014151,4.357732,1.089483,0.986440,0.009056
128,1.206543,0.025972,4.321678,1.171846,0.988251,0.018361
129,1.197181,0.015931,4.324854,1.164008,0.981882,0.013616
130,1.198145,0.029310,4.329284,1.175261,0.989449,0.028055
131,1.214163,0.020234,4.312934,1.168342,1.000143,0.016112
132,1.204767,0.023398,4.337393,1.107935,0.996510,0.023432
133,1.210594,0.024619,4.323576,1.188098,0.993975,0.017252
134,1.203449,0.025592,4.326865,1.167685,0.991226,0.020389
135,1.204002,0.026840,4.332843,1.181207,0.996278,0.021483
136,1.210424,0.031472,4.336551,1.152560,0.991756,0.018740
137,1.208047,0.013840,4.326906,1.147250,0.996780,0.009614
138,1.216261,0.015747,4.317548,1.171971,1.001617,0.014475
139,1.189456,0.028734,4.306069,1.196945,0.986142,0.017062
140,1.202988,0.018834,4.340115,1.134779,0.991888,0.014125
141,1.212733,0.017778,4.332787,1.145713,0.993027,0.018269
142,1.195544,0.029273,4.335243,1.129342,0.986679,0.020358
143,1.211850,0.017191,4.316027,1.156922,0.998886,0.014719
144,1.207926,0.023451,4.318061,1.159694,0.993729,0.015987
145,1.199223,0.019666,4.330135,1.137509,0.988576,0.012197
146,1.195150,0.018263,4.335232,1.169432,0.990905,0.012676
147,1.194080,0.018348,4.311392,1.171216,0.988433,0.016297
148,1.210111,0.014770,4.329267,1.175646,1.000951,0.016960
149,1.194253,0.026627,4.350870,1.159126,0.983932,0.014855
150,1.202415,0.018450,4.335105,1.149879,0.989893,0.016227
151,1.189985,0.016826,4.330239,1.203851,0.984934,0.016255
152,1.204021,0.027051,4.324652,1.170988,0.991896,0.016407
153,1.198610,0.023404,4.300899,1.188907,0.982900,0.017140
154,1.216074,0.009968,4.295015,1.168766,0.994802,0.016755
155,1.201105,0.012974,4.319415,1.177855,0.985509,0.016624
156,1.197497,0.022949,4.337780,1.166518,0.986495,0.013964
157,1.199684,0.013851,4.322935,1.178588,0.990044,0.015069
158,1.213076,0.022261,4.322221,1.186233,0.996281,0.013390
159,1.204197,0.016802,4.308030,1.185692,0.990653,0.014611
160,1.207223,0.013572,4.321644,1.177072,0.996591,0.014065
161,1.212722,0.016797,4.340599,1.142033,1.001744,0.017306
162,1.206007,0.021613,4.295992,1.172591,0.981772,0.025090
163,1.206416,0.019271,4.320180,1.157462,0.988153,0.016553
164,1.205188,0.019605,4.312112,1.171680,0.991521,0.018147
165,1.206996,0.016087,4.327287,1.190701,0.997513,0.007459
166,1.201751,0.021100,4.325544,1.176498,0.990678,0.014753
167,1.208494,0.015811,4.337181,1.155987,0.997037,0.011853
168,1.191535,0.014712,4.313360,1.165522,0.982867,0.018299
169,1.198396,0.016424,4.327053,1.166971,0.988124,0.011122
