generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,0.906550,0.024673,3.770771,0.362981,0.821910,0.022873
2,0.885196,0.012009,3.375943,0.158818,0.819639,0.022908
3,0.894128,0.020169,3.248985,0.158161,0.820732,0.034880
4,0.903000,0.012513,3.038664,0.072038,0.821335,0.021803
5,0.903545,0.018955,2.943022,0.069035,0.808316,0.017871
6,0.913966,0.021936,2.885253,0.063358,0.809255,0.025147
7,0.892685,0.023112,2.815880,0.077071,0.785533,0.024666
8,0.896103,0.017863,2.791107,0.064754,0.783358,0.031517
9,0.891291,0.013697,2.706658,0.052205,0.771381,0.017860
10,0.892165,0.021652,2.686008,0.063560,0.763808,0.017685
11,0.911245,0.025504,2.644944,0.060772,0.773540,0.018377
12,0.885900,0.018771,2.608481,0.064587,0.745555,0.024035
13,0.895491,0.013335,2.573717,0.055192,0.745063,0.021642
14,0.905001,0.011418,2.564615,0.067488,0.744538,0.014122
15,0.894016,0.034295,2.522063,0.029885,0.727693,0.025008
16,0.916584,0.018650,2.493875,0.038977,0.737977,0.025885
17,0.880983,0.014428,2.439739,0.040758,0.707526,0.023470
18,0.900603,0.013578,2.417477,0.063915,0.717243,0.023439
19,0.908435,0.015471,2.387961,0.066602,0.713231,0.013857
20,0.903945,0.026855,2.359621,0.063800,0.711300,0.022458
21,0.905373,0.020561,2.324609,0.060415,0.697008,0.017619
22,0.904043,0.028342,2.291164,0.077741,0.696184,0.026503
23,0.908499,0.018419,2.249820,0.078063,0.694577,0.023940
24,0.886875,0.024358,2.222246,0.075266,0.679147,0.015531
25,0.901749,0.008653,2.170826,0.072324,0.685103,0.007325
26,0.904997,0.019254,2.168170,0.076735,0.686422,0.013095
27,0.900603,0.009382,2.127876,0.072686,0.684184,0.014254
28,0.896806,0.018383,2.116291,0.062310,0.677499,0.013398
29,0.898909,0.014117,2.075682,0.077366,0.676046,0.013575
30,0.896358,0.012171,2.032571,0.083024,0.673049,0.014763
31,0.888562,0.017177,1.991346,0.092846,0.666159,0.027838
32,0.886877,0.020139,1.958069,0.110404,0.674569,0.017485
