generation,no_filter_mean,no_filter_std,ours_mean,ours_std,path_signature_mean,path_signature_std
1,0.839760,0.027498,3.389878,0.266295,0.777100,0.043416
2,0.847637,0.023261,3.080640,0.186791,0.802853,0.039832
3,0.858994,0.030799,2.906229,0.105628,0.806960,0.042792
4,0.851901,0.015912,2.815656,0.070156,0.792686,0.043672
5,0.851698,0.020667,2.678702,0.091484,0.782523,0.038919
6,0.843014,0.014276,2.660183,0.086682,0.766085,0.036835
7,0.850045,0.021339,2.623881,0.096952,0.761430,0.040092
8,0.865490,0.024271,2.556734,0.057050,0.774405,0.047066
9,0.854447,0.020568,2.513405,0.069690,0.757166,0.038738
10,0.848009,0.027638,2.469917,0.060970,0.742097,0.039236
11,0.857609,0.018934,2.417929,0.071906,0.743118,0.029431
12,0.855839,0.022127,2.406030,0.071418,0.732580,0.038074
13,0.849256,0.020666,2.374771,0.066396,0.721810,0.024195
14,0.843147,0.025119,2.358196,0.067803,0.708341,0.036390
15,0.851052,0.019174,2.323497,0.086782,0.707517,0.025579
16,0.848599,0.015152,2.290524,0.060406,0.695723,0.030865
17,0.849231,0.013278,2.271041,0.055580,0.690874,0.022676
18,0.858759,0.017324,2.241387,0.060477,0.690192,0.032496
19,0.850706,0.024325,2.209421,0.067631,0.675118,0.030800
20,0.853788,0.013300,2.163737,0.071506,0.673085,0.026118
21,0.857771,0.023215,2.144136,0.070374,0.671935,0.022960
22,0.862720,0.030526,2.115320,0.079660,0.666461,0.022693
23,0.844328,0.019065,2.098330,0.102086,0.654003,0.012848
24,0.846998,0.022828,2.074891,0.098731,0.643044,0.022820
25,0.857301,0.024684,2.054584,0.077776,0.651651,0.020999
26,0.866524,0.017800,1.996503,0.089477,0.649489,0.018127
27,0.834123,0.024081,1.954019,0.084348,0.625256,0.022758
28,0.862219,0.019820,1.945015,0.098303,0.645223,0.017317
29,0.848277,0.036391,1.934086,0.072108,0.635341,0.024369
30,0.841543,0.014465,1.887462,0.084022,0.612980,0.015855
31,0.836092,0.024231,1.863652,0.067655,0.618100,0.010242
32,0.854879,0.024850,1.863251,0.089930,0.628119,0.015184
