method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
set_aware,0,2500,0.3873,0.189,,0.46,0.474,0.302,0.189,0.281,0.361,0.406,0.526,0.498,0.376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
set_aware,1,5305,0.4413,0.223,11936.4462890625,0.458,0.524,0.366,0.223,0.302,0.433,0.471,0.596,0.598,0.442,400,400,196,0,4,265,340,400,400,400,0.6698752228163993,0.785884534590172,0.555,0.805,0.37755102040816324,,1.0,0.6566037735849056,0.6941176470588235,0.8325,0.5575,0.7275,0.6739066909553746,0.5335870048366553
set_aware,2,8688,0.4612,0.262,11996.6064453125,0.507,0.535,0.379,0.262,0.321,0.435,0.502,0.572,0.627,0.472,400,400,400,34,149,400,400,400,400,400,0.6866686373041679,0.959763524555575,0.655,0.8025,0.4375,0.6176470588235294,0.5906040268456376,0.65,0.8075,0.785,0.655,0.7425,0.9042606345302707,0.8681109647514057
set_aware,3,12515,0.471,0.266,11997.7177734375,0.508,0.559,0.388,0.266,0.349,0.435,0.528,0.575,0.619,0.483,400,400,400,227,400,400,400,400,400,400,0.6477658740527829,0.9797050245349576,0.775,0.7775,0.4275,0.4581497797356828,0.5225,0.555,0.7275,0.7625,0.705,0.685,0.9534284866039953,0.9342140745082473
set_aware,4,16515,0.4721,0.255,11999.326171875,0.524,0.551,0.395,0.255,0.346,0.43,0.534,0.555,0.632,0.499,400,400,400,400,400,400,400,400,400,400,0.60425,0.9915165374577045,0.66,0.745,0.4475,0.365,0.4925,0.5075,0.6925,0.6825,0.7675,0.6825,0.9737468773722648,0.9654946122914553
set_aware,5,20515,0.4748,0.267,11999.6875,0.514,0.539,0.376,0.267,0.345,0.431,0.565,0.563,0.622,0.526,400,400,400,400,400,400,400,400,400,400,0.56325,0.9938208493292332,0.6375,0.71,0.355,0.3875,0.4625,0.47,0.55,0.67,0.79,0.6,0.9769144652187824,0.9708790379315615
clean_ft,0,2500,0.3873,0.189,,0.46,0.474,0.302,0.189,0.281,0.361,0.406,0.526,0.498,0.376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,1,100,0.3353,0.192,,0.313,0.388,0.263,0.192,0.289,0.321,0.361,0.463,0.358,0.405,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,2,100,0.3146,0.172,,0.303,0.385,0.172,0.199,0.262,0.266,0.435,0.422,0.336,0.366,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,3,100,0.3044,0.185,,0.337,0.327,0.211,0.185,0.32,0.217,0.328,0.473,0.329,0.317,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,4,100,0.3048,0.191,,0.349,0.372,0.224,0.191,0.247,0.227,0.367,0.479,0.35,0.242,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,5,100,0.2986,0.189,,0.295,0.354,0.189,0.21,0.257,0.264,0.35,0.48,0.344,0.243,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,0,2500,0.3873,0.189,,0.46,0.474,0.302,0.189,0.281,0.361,0.406,0.526,0.498,0.376,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,1,6600,0.4418,0.221,10203.127808492562,0.543,0.557,0.335,0.221,0.298,0.387,0.47,0.624,0.527,0.456,688,1036,17,0,0,280,185,904,109,781,0.6805,0.7701207603216171,0.5465116279069767,0.7364864864864865,0.23529411764705882,,,0.6607142857142857,0.7297297297297297,0.7267699115044248,0.5688073394495413,0.6914212548015365,0.7448435428559729,0.6458164260558784
clean_mix,2,10600,0.4629,0.249,10097.321617388472,0.562,0.596,0.357,0.249,0.324,0.395,0.497,0.643,0.534,0.472,801,806,112,0,0,284,516,978,108,395,0.66475,0.9613992454707623,0.5655430711610487,0.6662531017369727,0.4017857142857143,,,0.6302816901408451,0.8042635658914729,0.6717791411042945,0.8333333333333334,0.7164556962025317,0.749599024962309,0.7531257598906754
clean_mix,3,14600,0.4698,0.218,10129.952329222217,0.556,0.59,0.372,0.218,0.32,0.408,0.54,0.642,0.556,0.496,596,668,358,6,43,355,571,679,390,334,0.63575,0.9788285716921091,0.6241610738255033,0.6317365269461078,0.4692737430167598,0.6666666666666666,0.5813953488372093,0.6028169014084507,0.7513134851138353,0.5581737849779087,0.8076923076923077,0.6437125748502994,0.7417787515099852,0.769826928980276
