method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9,sel_pseudo_acc,sel_mean_conf,sel_pseudo_acc_c0,sel_pseudo_acc_c1,sel_pseudo_acc_c2,sel_pseudo_acc_c3,sel_pseudo_acc_c4,sel_pseudo_acc_c5,sel_pseudo_acc_c6,sel_pseudo_acc_c7,sel_pseudo_acc_c8,sel_pseudo_acc_c9,sel_mean_weight,sel_mean_score
set_aware,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
set_aware,1,5686,0.4473,0.254,11879.21875,0.453,0.503,0.397,0.254,0.327,0.439,0.465,0.56,0.609,0.466,400,400,400,3,157,400,226,400,400,400,0.6801632140615191,0.7572809034971344,0.6625,0.825,0.375,0.6666666666666666,0.6496815286624203,0.6225,0.7168141592920354,0.8825,0.6725,0.7125,0.6778737585161441,0.5121036939234084
set_aware,2,9324,0.4576,0.258,11975.1474609375,0.469,0.541,0.357,0.258,0.364,0.449,0.487,0.556,0.602,0.493,400,400,400,38,400,400,400,400,400,400,0.7091808686091259,0.9719924101172862,0.665,0.845,0.3925,0.5,0.6325,0.575,0.785,0.8825,0.8375,0.7875,0.9666725788357626,0.9400315497064407
set_aware,3,13275,0.4734,0.283,11998.900390625,0.486,0.57,0.375,0.283,0.379,0.45,0.503,0.571,0.601,0.516,400,400,400,351,400,400,400,400,400,400,0.6476841305998481,0.9832864496352491,0.63,0.7625,0.4175,0.452991452991453,0.5475,0.5725,0.7625,0.775,0.785,0.7475,0.9610699894186274,0.9450701703544931
set_aware,4,17275,0.4784,0.28,11999.65234375,0.496,0.569,0.371,0.28,0.39,0.461,0.506,0.565,0.607,0.539,400,400,400,400,400,400,400,400,400,400,0.607,0.9941739618033171,0.5125,0.735,0.435,0.4375,0.535,0.535,0.6925,0.73,0.7825,0.675,0.9756939211785793,0.9700103918612003
set_aware,5,21275,0.4796,0.279,11999.7705078125,0.512,0.559,0.389,0.279,0.379,0.456,0.512,0.551,0.619,0.54,400,400,400,400,400,400,400,400,400,400,0.55475,0.9963461605459452,0.475,0.645,0.4725,0.415,0.415,0.445,0.6925,0.625,0.745,0.6175,0.9830592258423567,0.9794662542939186
clean_ft,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,1,100,0.3431,0.206,,0.405,0.338,0.239,0.206,0.37,0.257,0.348,0.529,0.408,0.331,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,2,100,0.3236,0.189,,0.384,0.329,0.189,0.196,0.423,0.236,0.301,0.496,0.39,0.292,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,3,100,0.3257,0.177,,0.408,0.295,0.177,0.178,0.341,0.285,0.357,0.505,0.415,0.296,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,4,100,0.3294,0.156,,0.467,0.334,0.192,0.156,0.358,0.283,0.324,0.499,0.417,0.264,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_ft,5,100,0.3109,0.191,,0.378,0.328,0.191,0.197,0.301,0.21,0.354,0.457,0.386,0.307,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
clean_mix,1,6600,0.4491,0.254,10261.467138896736,0.432,0.531,0.391,0.254,0.315,0.433,0.47,0.615,0.611,0.439,142,1107,124,0,0,468,12,961,597,589,0.70275,0.7639241700321436,0.8028169014084507,0.7434507678410117,0.1935483870967742,,,0.6196581196581197,0.75,0.7845993756503642,0.644891122278057,0.6994906621392191,0.7378123851893936,0.6755092242799698
clean_mix,2,10600,0.4617,0.256,10111.590112672622,0.43,0.586,0.376,0.256,0.33,0.439,0.482,0.633,0.632,0.453,167,725,195,0,1,371,95,983,928,535,0.68325,0.965849752575159,0.7425149700598802,0.7337931034482759,0.24102564102564103,,0.0,0.5606469002695418,0.8526315789473684,0.7009155645981688,0.71875,0.719626168224299,0.7473949391738939,0.7678163378957659
clean_mix,3,14600,0.4782,0.228,10158.870311432061,0.433,0.599,0.385,0.228,0.356,0.481,0.518,0.625,0.667,0.49,363,723,217,21,0,275,302,511,947,641,0.66,0.9804044715166091,0.7741046831955923,0.6666666666666666,0.31336405529953915,0.38095238095238093,,0.5781818181818181,0.8841059602649006,0.5772994129158513,0.665258711721225,0.7020280811232449,0.7389122036877825,0.7749090482577682
clean_mix,4,18600,0.4848,0.197,10202.436043532662,0.433,0.609,0.386,0.197,0.354,0.483,0.532,0.635,0.715,0.504,524,660,193,61,0,253,283,385,947,694,0.57875,0.9825108529627323,0.6812977099236641,0.5454545454545454,0.40932642487046633,0.4098360655737705,,0.49407114624505927,0.7667844522968198,0.4831168831168831,0.5923970432946146,0.5835734870317003,0.735630721408984,0.7813253401957453
clean_mix,5,22600,0.4885,0.185,10238.131819458626,0.448,0.643,0.375,0.185,0.346,0.46,0.527,0.684,0.711,0.506,670,543,258,125,1,228,294,527,867,487,0.50025,0.9855427584797144,0.5223880597014925,0.4696132596685083,0.375968992248062,0.416,1.0,0.5131578947368421,0.673469387755102,0.5009487666034156,0.4855824682814302,0.5051334702258727,0.7306332834543586,0.7785740130215884
batch_mean,0,2500,0.4116,0.218,,0.438,0.481,0.311,0.218,0.295,0.445,0.387,0.551,0.556,0.434,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
batch_mean,1,6500,0.4501,0.255,10261.467138896736,0.418,0.548,0.363,0.255,0.331,0.428,0.48,0.602,0.629,0.447,142,1107,124,0,0,468,12,961,597,589,0.70275,0.7639241700321436,0.8028169014084507,0.7434507678410117,0.1935483870967742,,,0.6196581196581197,0.75,0.7845993756503642,0.644891122278057,0.6994906621392191,0.7378123851893936,0.6755092242799698
batch_mean,2,10500,0.4656,0.238,10107.770296741592,0.433,0.575,0.372,0.238,0.363,0.474,0.48,0.614,0.651,0.456,185,765,225,0,5,405,98,830,921,566,0.69725,0.9676182771921158,0.8324324324324325,0.7124183006535948,0.27111111111111114,,0.4,0.562962962962963,0.8979591836734694,0.7253012048192771,0.740499457111835,0.7544169611307421,0.7470036154962145,0.764550810533017
batch_mean,3,14500,0.4725,0.217,10165.104343409255,0.436,0.571,0.378,0.217,0.357,0.478,0.503,0.616,0.673,0.496,361,682,217,13,0,358,327,500,844,698,0.64375,0.9795817963778972,0.7340720221606648,0.6730205278592375,0.31797235023041476,0.46153846153846156,,0.5558659217877095,0.8868501529051988,0.59,0.6398104265402843,0.6475644699140402,0.7389427180033878,0.7761470842655748
