method,generation,distinct2,distinct3,distinct4,val_ppl,clean_val_size,train_avg_words,train_gzip_ratio,train_rep4_intra,train_unique_line_ratio
unsup_set_aware,0,0.553578832309374,0.637452264737867,0.6824528133789821,46.75970364191925,0.0,158.048,0.33386730759625527,0.0477298334979055,0.9985
unsup_set_aware,1,0.47354851628890754,0.5381853909231757,0.5762643102552075,77.14395042453629,0.0,162.3315,0.28394494709671636,0.1781409081430098,1.0
unsup_set_aware,2,0.4318624712964687,0.4835796284961213,0.5144516664361776,117.16976856308428,0.0,162.4205,0.2431078018928812,0.3225348010326824,1.0
unsup_set_aware,3,0.4254589993566586,0.4718113451865133,0.49997493859956893,155.78181361707937,0.0,159.758,0.21850728515492682,0.4144109007948756,0.9985
unsup_set_aware,4,0.41916084621397415,0.462756642895211,0.48957774542110505,183.78752503510566,0.0,161.4715,0.2133929587119598,0.44005139191787085,0.9995
no_filter,0,0.5493202341966855,0.6312793368620793,0.6738868227962609,46.63084896879239,0.0,143.5195,0.3301545765804189,0.21306266694312462,0.975
no_filter,1,0.4600502512562814,0.5240870928585879,0.56150733048259,76.45622092499556,0.0,156.381,0.2823783884524182,0.36548795795905276,0.943
no_filter,2,0.42690375829778643,0.47530676015547596,0.5037972741452936,113.37591632783015,0.0,156.819,0.2491648955575085,0.46687484979716504,0.9395
no_filter,3,0.39812943972144915,0.44162904030391015,0.4668400520156047,155.059802980485,0.0,155.7645,0.22948094271005526,0.5300012913779723,0.9245
no_filter,4,0.37227652659930954,0.4124527485395003,0.43643747517839526,194.38996842275668,0.0,157.332,0.21912560074803966,0.5526589109589686,0.9295
pointwise,0,0.5177409407292729,0.5929538746088653,0.6346190627988524,42.14899826326661,0.0,135.406,0.09487174964280405,0.8429454091429772,0.6625
pointwise,1,0.44405148349774537,0.5086131275505664,0.5467900239292616,55.014482086305726,0.0,134.4105,0.0189711802203973,0.9593389649359104,0.376
pointwise,2,0.37808770382881485,0.42481470834531115,0.4524950627067688,81.94480155937858,0.0,134.2145,0.018121867008313444,0.9603551185648568,0.3625
pointwise,3,0.3531332950055657,0.39211462474919684,0.41400027252344324,126.93354835346565,0.0,134.154,0.017994733820223402,0.9607502394562828,0.3565
pointwise,4,0.31353728768255046,0.34035503826686553,0.35522009793066117,211.44362440670443,0.0,134.3275,0.01753029348848282,0.9607615507522708,0.3445
