model,overall_rmse,straight_rmse,curve_rmse,spiral_rmse,avg_order,avg_feature_dim,feature_build_sec
fixed_m1,0.443150,0.470908,0.353660,0.492256,1.000000,2.000000,0.001934
fixed_m2,0.065388,0.028244,0.072809,0.082023,2.000000,6.000000,0.002617
fixed_m3,0.077867,0.037667,0.123414,0.039241,3.000000,14.000000,0.003842
adaptive_sibylla,0.005186,0.001665,0.003713,0.008008,2.000000,7.333333,0.004409
