delta,no_filter_mean,no_filter_std,standard_filter_mean,standard_filter_std,ours_mean,ours_std
0.0,0.014213,0.000279,0.007081,0.000318,0.044827,0.000001
5.0,1.930088,0.002044,1.355770,0.111177,0.044831,0.000007
10.0,3.830400,0.004452,2.055127,0.071844,0.044844,0.000040
20.0,7.631398,0.049348,2.837557,0.179572,0.044828,0.000005
30.0,11.523519,0.026191,3.960440,0.315565,0.044835,0.000014
40.0,15.411939,0.059361,4.484949,0.376848,0.044884,0.000022
